driver_id,vehicle_type,driver_rating,driver_status
DRV00112,mobil,4.03,nonaktif
DRV00113,motor,3.75,nonaktif
DRV00114,mobil,4.94,nonaktif
DRV00115,motor,4.83,nonaktif
DRV00116,mobil,4.6,aktif
DRV00117,motor,4.96,nonaktif
DRV00118,mobil,4.57,nonaktif
DRV00119,motor,4.11,aktif
DRV00120,motor,4.61,nonaktif
DRV00121,mobil,4.22,aktif
DRV00122,mobil,3.96,aktif
DRV00123,mobil,4.61,aktif
DRV00124,mobil,3.75,aktif
DRV00125,motor,3.78,nonaktif
DRV00126,motor,4.63,aktif
DRV00127,mobil,4.59,nonaktif
DRV00128,motor,4.64,nonaktif
DRV00129,mobil,3.76,nonaktif
DRV00130,motor,4.38,nonaktif
DRV00131,motor,4.47,aktif
DRV00132,motor,4.69,aktif
DRV00133,mobil,3.63,aktif
DRV00134,motor,4.68,nonaktif
DRV00135,mobil,3.76,nonaktif
DRV00136,motor,3.7,nonaktif
DRV00137,motor,3.89,nonaktif
DRV00138,motor,4.94,nonaktif
DRV00139,mobil,3.79,aktif
DRV00140,mobil,4.75,aktif
DRV00141,motor,4.58,aktif
DRV00142,motor,4.61,aktif
DRV00143,motor,3.87,aktif
DRV00144,motor,3.7,nonaktif
DRV00145,mobil,3.64,aktif
DRV00146,mobil,4.78,aktif
DRV00147,mobil,4.95,aktif
DRV00148,mobil,4.23,aktif
DRV00149,mobil,4.1,nonaktif
DRV00150,motor,4.89,nonaktif
DRV00151,motor,4.21,nonaktif
DRV00152,motor,4.09,aktif
DRV00153,mobil,3.52,nonaktif
DRV00154,motor,4.19,aktif
DRV00155,mobil,4.14,nonaktif
DRV00156,mobil,4.49,aktif
DRV00157,motor,3.81,aktif
DRV00158,mobil,3.67,nonaktif
DRV00159,mobil,4.57,nonaktif
DRV00160,mobil,3.71,aktif
DRV00161,motor,4.08,nonaktif
DRV00162,mobil,3.67,aktif
DRV00163,mobil,3.77,nonaktif
DRV00164,mobil,4.29,nonaktif
DRV00165,mobil,4.84,aktif
DRV00166,mobil,4.79,aktif
DRV00167,mobil,4.41,aktif
DRV00168,motor,4.73,nonaktif
DRV00169,motor,4.21,nonaktif
DRV00170,motor,4.27,nonaktif
DRV00171,motor,5.0,nonaktif
DRV00172,motor,3.76,aktif
DRV00173,motor,4.82,nonaktif
DRV00174,motor,4.17,nonaktif
DRV00175,mobil,3.62,nonaktif
DRV00176,motor,3.83,nonaktif
DRV00177,mobil,4.67,aktif
DRV00178,mobil,4.36,nonaktif
DRV00179,motor,3.75,nonaktif
DRV00180,mobil,4.62,nonaktif
DRV00181,motor,4.13,aktif
DRV00182,mobil,4.53,aktif
DRV00183,motor,4.27,nonaktif
DRV00184,motor,4.48,aktif
DRV00185,mobil,3.84,nonaktif
DRV00186,mobil,4.22,nonaktif
DRV00187,motor,3.64,nonaktif
DRV00188,motor,3.98,aktif
DRV00189,motor,4.37,aktif
DRV00190,mobil,4.3,nonaktif
DRV00191,mobil,3.57,nonaktif
DRV00192,mobil,4.61,nonaktif
DRV00193,motor,4.18,nonaktif
DRV00194,mobil,3.82,aktif
DRV00195,mobil,4.59,aktif
DRV00196,mobil,4.76,nonaktif
DRV00197,mobil,3.88,nonaktif
DRV00198,mobil,3.7,nonaktif
DRV00199,motor,4.11,aktif
DRV00200,mobil,4.49,aktif
DRV00201,mobil,4.72,aktif
DRV00202,motor,3.72,nonaktif
DRV00203,motor,4.37,aktif
DRV00204,motor,4.67,nonaktif
DRV00205,mobil,3.56,nonaktif
DRV00206,mobil,3.53,aktif
DRV00207,mobil,4.12,nonaktif
DRV00208,motor,4.01,aktif
DRV00209,motor,4.56,nonaktif
DRV00210,mobil,4.87,aktif
DRV00211,motor,3.54,nonaktif
DRV00212,mobil,4.5,aktif
DRV00213,mobil,4.21,aktif
DRV00214,motor,3.77,aktif
DRV00215,mobil,4.12,nonaktif
DRV00216,mobil,4.66,aktif
DRV00217,mobil,4.26,nonaktif
DRV00218,mobil,3.83,nonaktif
DRV00219,motor,4.08,aktif
DRV00220,mobil,3.81,aktif
DRV00221,mobil,4.98,aktif
DRV00222,mobil,4.7,nonaktif
DRV00223,motor,4.77,nonaktif
DRV00224,motor,3.71,aktif
DRV00225,mobil,3.59,nonaktif
DRV00226,motor,4.32,nonaktif
DRV00227,mobil,3.54,nonaktif
DRV00228,motor,3.78,aktif
DRV00229,motor,4.1,aktif
DRV00230,motor,4.21,aktif
DRV00231,motor,4.51,aktif
DRV00232,mobil,3.68,aktif
DRV00233,mobil,4.55,aktif
DRV00234,motor,4.2,nonaktif
DRV00235,motor,4.3,nonaktif
DRV00236,mobil,3.76,nonaktif
DRV00237,motor,3.55,aktif
DRV00238,motor,4.51,aktif
DRV00239,mobil,3.95,aktif
DRV00240,motor,3.92,nonaktif
DRV00241,mobil,3.54,nonaktif
DRV00242,motor,3.6,nonaktif
DRV00243,mobil,3.78,nonaktif
DRV00244,mobil,4.99,aktif
DRV00245,mobil,3.85,nonaktif
DRV00246,motor,4.72,aktif
DRV00247,motor,4.2,aktif
DRV00248,mobil,4.21,aktif
DRV00249,mobil,4.45,nonaktif
DRV00250,motor,4.52,nonaktif
DRV00251,motor,3.65,nonaktif
DRV00252,motor,4.85,aktif
DRV00253,mobil,3.5,nonaktif
DRV00254,motor,3.67,aktif
DRV00255,motor,4.12,nonaktif
DRV00256,motor,4.17,aktif
DRV00257,motor,3.55,aktif
DRV00258,motor,4.18,nonaktif
DRV00259,motor,4.29,nonaktif
DRV00260,motor,4.48,nonaktif
DRV00261,mobil,4.76,nonaktif
DRV00262,motor,4.49,aktif
DRV00263,mobil,3.72,nonaktif
DRV00264,motor,4.46,nonaktif
DRV00265,mobil,3.63,nonaktif
DRV00266,motor,4.13,aktif
DRV00267,mobil,4.79,aktif
DRV00268,mobil,4.11,aktif
DRV00269,motor,4.34,aktif
DRV00270,motor,3.86,aktif
DRV00271,mobil,3.59,aktif
DRV00272,mobil,3.79,nonaktif
DRV00273,mobil,3.9,nonaktif
DRV00274,mobil,4.45,aktif
DRV00275,mobil,4.0,nonaktif
DRV00276,motor,3.62,aktif
DRV00277,mobil,4.72,aktif
DRV00278,mobil,3.74,nonaktif
DRV00279,motor,4.11,aktif
DRV00280,motor,4.91,aktif
DRV00281,motor,4.19,aktif
DRV00282,motor,3.77,nonaktif
DRV00283,mobil,4.11,aktif
DRV00284,motor,4.42,nonaktif
DRV00285,motor,3.7,nonaktif
DRV00286,motor,4.06,aktif
DRV00287,mobil,3.56,nonaktif
DRV00288,motor,4.55,nonaktif
DRV00289,mobil,4.25,aktif
DRV00290,mobil,4.68,nonaktif
DRV00291,motor,4.96,nonaktif
DRV00292,mobil,4.76,aktif
DRV00293,motor,4.03,nonaktif
DRV00294,mobil,3.87,nonaktif
DRV00295,mobil,4.91,nonaktif
DRV00296,mobil,3.73,aktif
DRV00297,motor,3.85,aktif
DRV00298,mobil,4.1,nonaktif
DRV00299,mobil,3.93,aktif
DRV00300,motor,4.06,nonaktif
DRV00301,mobil,4.95,aktif
DRV00302,motor,4.62,nonaktif
DRV00303,motor,4.41,nonaktif
DRV00304,motor,3.75,nonaktif
DRV00305,motor,3.52,nonaktif
DRV00306,mobil,3.61,nonaktif
DRV00307,mobil,3.77,nonaktif
DRV00308,mobil,4.42,aktif
DRV00309,motor,3.82,nonaktif
DRV00310,mobil,4.33,nonaktif
DRV00311,mobil,4.18,aktif
DRV00312,mobil,4.87,nonaktif
DRV00313,motor,3.95,aktif
DRV00314,mobil,4.29,aktif
DRV00315,mobil,4.84,aktif
DRV00316,motor,3.99,aktif
DRV00317,motor,3.73,aktif
DRV00318,mobil,3.51,aktif
DRV00319,motor,3.93,aktif
DRV00320,mobil,4.89,aktif
DRV00321,motor,4.93,nonaktif
DRV00322,motor,4.78,nonaktif
DRV00323,motor,3.83,aktif
DRV00324,motor,3.81,nonaktif
DRV00325,mobil,3.73,nonaktif
DRV00326,motor,3.55,nonaktif
DRV00327,mobil,4.75,nonaktif
DRV00328,mobil,3.74,aktif
DRV00329,mobil,4.86,nonaktif
DRV00330,motor,3.58,aktif
DRV00331,motor,4.01,aktif
DRV00332,motor,4.36,nonaktif
DRV00333,mobil,4.14,aktif
DRV00334,mobil,4.34,nonaktif
DRV00335,motor,4.87,aktif
DRV00336,mobil,4.1,aktif
DRV00337,motor,3.63,nonaktif
DRV00338,motor,4.44,aktif
DRV00339,mobil,4.42,nonaktif
DRV00340,motor,4.9,nonaktif
DRV00341,mobil,4.97,aktif
DRV00342,mobil,4.77,aktif
DRV00343,mobil,3.87,nonaktif
DRV00344,mobil,3.89,aktif
DRV00345,mobil,3.84,aktif
DRV00346,motor,4.22,nonaktif
DRV00347,mobil,3.65,aktif
DRV00348,mobil,4.24,aktif
DRV00349,motor,3.61,nonaktif
DRV00350,motor,3.84,aktif
DRV00351,motor,4.95,aktif
DRV00352,mobil,4.75,aktif
DRV00353,motor,4.27,aktif
DRV00354,motor,4.19,aktif
DRV00355,mobil,4.6,nonaktif
DRV00356,mobil,3.91,nonaktif
DRV00357,mobil,4.32,aktif
DRV00358,mobil,4.24,aktif
DRV00359,mobil,4.62,nonaktif
DRV00360,motor,4.66,nonaktif
DRV00361,motor,4.88,aktif
DRV00362,mobil,4.12,aktif
DRV00363,motor,4.68,aktif
DRV00364,mobil,3.63,aktif
DRV00365,motor,4.8,nonaktif
DRV00366,motor,3.9,nonaktif
DRV00367,motor,4.96,aktif
DRV00368,motor,4.34,nonaktif
DRV00369,motor,4.02,aktif
DRV00370,motor,3.98,nonaktif
DRV00371,mobil,3.91,nonaktif
DRV00372,mobil,3.87,aktif
DRV00373,mobil,3.57,nonaktif
DRV00374,mobil,3.5,nonaktif
DRV00375,motor,4.38,aktif
DRV00376,mobil,3.98,nonaktif
DRV00377,motor,4.31,aktif
DRV00378,motor,4.41,aktif
DRV00379,motor,3.62,aktif
DRV00380,motor,4.38,nonaktif
DRV00381,motor,4.65,aktif
DRV00382,motor,4.27,nonaktif
DRV00383,mobil,4.44,aktif
DRV00384,mobil,4.3,aktif
DRV00385,motor,4.09,aktif
DRV00386,mobil,3.64,nonaktif
DRV00387,mobil,4.54,aktif
DRV00388,motor,4.58,nonaktif
DRV00389,mobil,3.7,aktif
DRV00390,motor,4.41,nonaktif
DRV00391,mobil,3.9,aktif
DRV00392,motor,4.64,nonaktif
DRV00393,mobil,3.56,nonaktif
DRV00394,motor,4.39,aktif
DRV00395,motor,4.4,aktif
DRV00396,mobil,4.8,aktif
DRV00397,motor,3.8,aktif
DRV00398,mobil,4.07,aktif
DRV00399,mobil,4.31,nonaktif
DRV00400,motor,4.01,nonaktif
DRV00401,motor,3.78,aktif
DRV00402,motor,4.39,nonaktif
DRV00403,motor,3.94,nonaktif
DRV00404,motor,3.72,nonaktif
DRV00405,motor,4.4,nonaktif
DRV00406,motor,4.21,nonaktif
DRV00407,mobil,4.57,nonaktif
DRV00408,mobil,4.59,aktif
DRV00409,motor,4.88,aktif
DRV00410,motor,4.17,aktif
DRV00411,mobil,4.09,aktif
DRV00412,mobil,4.59,nonaktif
DRV00413,mobil,4.81,nonaktif
DRV00414,mobil,5.0,aktif
DRV00415,mobil,3.77,nonaktif
DRV00416,mobil,4.88,nonaktif
DRV00417,motor,4.96,aktif
DRV00418,mobil,3.61,nonaktif
DRV00419,motor,3.69,nonaktif
DRV00420,mobil,3.51,nonaktif
DRV00421,mobil,3.57,aktif
DRV00422,mobil,3.85,nonaktif
DRV00423,mobil,3.86,aktif
DRV00424,mobil,3.57,aktif
DRV00425,mobil,3.9,aktif
DRV00426,motor,3.52,aktif
DRV00427,motor,4.39,aktif
DRV00428,motor,4.71,aktif
DRV00429,motor,3.71,aktif
DRV00430,motor,4.41,nonaktif
DRV00431,motor,4.53,nonaktif
DRV00432,mobil,4.35,nonaktif
DRV00433,motor,4.79,aktif
DRV00434,mobil,3.56,nonaktif
DRV00435,motor,3.7,nonaktif
DRV00436,mobil,4.88,nonaktif
DRV00437,mobil,4.49,nonaktif
DRV00438,mobil,4.97,aktif
DRV00439,motor,3.98,nonaktif
DRV00440,mobil,4.89,aktif
DRV00441,motor,3.69,aktif
DRV00442,motor,4.58,nonaktif
DRV00443,mobil,4.44,aktif
DRV00444,mobil,4.83,nonaktif
DRV00445,mobil,4.1,nonaktif
DRV00446,motor,4.8,nonaktif
DRV00447,motor,3.69,nonaktif
DRV00448,motor,3.97,nonaktif
DRV00449,mobil,3.52,nonaktif
DRV00450,motor,4.72,aktif
DRV00451,mobil,4.31,aktif
DRV00452,mobil,3.52,nonaktif
DRV00453,motor,4.64,nonaktif
DRV00454,motor,3.7,nonaktif
DRV00455,motor,4.05,nonaktif
DRV00456,motor,3.61,aktif
DRV00457,motor,3.6,aktif
DRV00458,motor,4.13,aktif
DRV00459,mobil,4.13,nonaktif
DRV00460,mobil,4.36,nonaktif
DRV00461,motor,3.77,nonaktif
DRV00462,motor,3.81,nonaktif
DRV00463,mobil,4.16,nonaktif
DRV00464,motor,4.56,nonaktif
DRV00465,mobil,3.82,nonaktif
DRV00466,mobil,4.38,nonaktif
DRV00467,mobil,3.68,aktif
DRV00468,mobil,4.15,nonaktif
DRV00469,mobil,4.37,nonaktif
DRV00470,mobil,4.08,aktif
DRV00471,motor,3.79,nonaktif
DRV00472,mobil,3.9,nonaktif
DRV00473,mobil,4.32,aktif
DRV00474,mobil,4.53,aktif
DRV00475,motor,4.96,nonaktif
DRV00476,mobil,4.7,aktif
DRV00477,mobil,3.87,aktif
DRV00478,motor,4.35,aktif
DRV00479,motor,4.41,nonaktif
DRV00480,mobil,3.86,aktif
DRV00481,motor,4.54,nonaktif
DRV00482,motor,4.68,aktif
DRV00483,motor,4.35,nonaktif
DRV00484,mobil,3.89,aktif
DRV00485,motor,3.98,aktif
DRV00486,mobil,4.9,nonaktif
DRV00487,mobil,4.43,aktif
DRV00488,mobil,3.75,nonaktif
DRV00489,motor,4.43,aktif
DRV00490,motor,4.58,nonaktif
DRV00491,motor,3.57,aktif
DRV00492,motor,3.53,aktif
DRV00493,mobil,4.53,aktif
DRV00494,motor,4.13,aktif
DRV00495,motor,4.64,aktif
DRV00496,mobil,3.94,aktif
DRV00497,mobil,4.24,aktif
DRV00498,motor,4.83,aktif
DRV00499,mobil,4.0,nonaktif
DRV00500,motor,3.99,nonaktif
DRV00501,mobil,3.69,nonaktif
DRV00502,motor,4.87,nonaktif
DRV00503,mobil,4.15,aktif
DRV00504,motor,4.33,aktif
DRV00505,motor,3.54,nonaktif
DRV00506,mobil,4.98,aktif
DRV00507,motor,3.78,nonaktif
DRV00508,motor,4.87,nonaktif
DRV00509,mobil,4.2,aktif
DRV00510,motor,4.91,nonaktif
DRV00511,motor,4.93,nonaktif
DRV00512,mobil,4.6,aktif
DRV00513,mobil,3.51,nonaktif
DRV00514,motor,3.86,aktif
DRV00515,mobil,4.42,aktif
DRV00516,mobil,3.7,nonaktif
DRV00517,motor,4.59,aktif
DRV00518,mobil,4.69,nonaktif
DRV00519,motor,3.7,nonaktif
DRV00520,mobil,3.53,nonaktif
DRV00521,mobil,4.67,nonaktif
DRV00522,motor,4.14,nonaktif
DRV00523,motor,4.06,aktif
DRV00524,mobil,4.75,aktif
DRV00525,motor,3.87,nonaktif
DRV00526,motor,4.71,nonaktif
DRV00527,mobil,4.82,nonaktif
DRV00528,mobil,4.59,nonaktif
DRV00529,mobil,3.9,nonaktif
DRV00530,motor,3.66,aktif
DRV00531,mobil,4.62,nonaktif
DRV00532,motor,3.89,nonaktif
DRV00533,motor,4.38,nonaktif
DRV00534,mobil,3.52,nonaktif
DRV00535,motor,3.71,nonaktif
DRV00536,mobil,3.94,aktif
DRV00537,motor,4.62,nonaktif
DRV00538,mobil,3.65,aktif
DRV00539,motor,4.58,aktif
DRV00540,motor,3.99,nonaktif
DRV00541,mobil,3.84,aktif
DRV00542,motor,4.55,aktif
DRV00543,mobil,4.16,aktif
DRV00544,motor,4.86,nonaktif
DRV00545,mobil,3.95,aktif
DRV00546,mobil,4.1,nonaktif
DRV00547,mobil,3.6,aktif
DRV00548,motor,3.81,nonaktif
DRV00549,motor,3.99,nonaktif
DRV00550,motor,4.08,aktif
DRV00551,mobil,4.55,aktif
DRV00552,mobil,4.36,nonaktif
DRV00553,mobil,3.96,nonaktif
DRV00554,mobil,3.54,nonaktif
DRV00555,mobil,4.53,nonaktif
DRV00556,mobil,3.79,aktif
DRV00557,motor,4.78,nonaktif
DRV00558,motor,3.8,aktif
DRV00559,motor,4.76,aktif
DRV00560,motor,4.13,nonaktif
DRV00561,mobil,3.7,aktif
DRV00562,mobil,3.98,nonaktif
DRV00563,mobil,4.53,nonaktif
DRV00564,mobil,4.0,nonaktif
DRV00565,mobil,3.99,nonaktif
DRV00566,mobil,4.03,aktif
DRV00567,mobil,4.21,nonaktif
DRV00568,motor,3.51,nonaktif
DRV00569,mobil,4.01,nonaktif
DRV00570,motor,3.94,aktif
DRV00571,mobil,3.61,nonaktif
DRV00572,mobil,3.88,aktif
DRV00573,motor,3.76,nonaktif
DRV00574,mobil,3.89,nonaktif
DRV00575,mobil,3.51,aktif
DRV00576,motor,4.29,nonaktif
DRV00577,motor,4.27,aktif
DRV00578,mobil,4.73,aktif
DRV00579,motor,4.18,aktif
DRV00580,mobil,3.79,nonaktif
DRV00581,mobil,3.73,aktif
DRV00582,mobil,3.59,aktif
DRV00583,mobil,4.6,aktif
DRV00584,motor,4.97,nonaktif
DRV00585,motor,3.82,aktif
DRV00586,mobil,4.46,nonaktif
DRV00587,mobil,4.8,nonaktif
DRV00588,motor,4.76,nonaktif
DRV00589,motor,4.33,aktif
DRV00590,motor,4.04,nonaktif
DRV00591,motor,3.95,aktif
DRV00592,mobil,3.81,nonaktif
DRV00593,mobil,3.95,aktif
DRV00594,mobil,4.25,aktif
DRV00595,mobil,4.52,nonaktif
DRV00596,motor,3.71,nonaktif
DRV00597,motor,3.75,nonaktif
DRV00598,mobil,3.72,aktif
DRV00599,motor,4.95,nonaktif
DRV00600,motor,4.0,nonaktif
DRV00601,motor,4.2,nonaktif
DRV00602,motor,3.56,aktif
DRV00603,mobil,4.5,nonaktif
DRV00604,mobil,4.3,nonaktif
DRV00605,mobil,4.41,aktif
DRV00606,mobil,3.6,nonaktif
DRV00607,mobil,4.99,aktif
DRV00608,motor,3.51,aktif
DRV00609,mobil,4.68,nonaktif
DRV00610,mobil,3.66,nonaktif
DRV00611,motor,3.87,aktif
DRV00612,motor,4.96,nonaktif
DRV00613,motor,4.61,nonaktif
DRV00614,mobil,4.57,nonaktif
DRV00615,motor,4.19,nonaktif
DRV00616,mobil,4.89,aktif
DRV00617,motor,4.77,nonaktif
DRV00618,motor,4.55,nonaktif
DRV00619,mobil,3.77,aktif
DRV00620,motor,4.06,aktif
DRV00621,mobil,4.31,aktif
DRV00622,mobil,4.67,nonaktif
DRV00623,mobil,4.73,nonaktif
DRV00624,mobil,4.43,aktif
DRV00625,mobil,4.89,aktif
DRV00626,motor,4.19,aktif
DRV00627,motor,4.48,aktif
DRV00628,mobil,4.44,aktif
DRV00629,motor,4.83,aktif
DRV00630,mobil,4.52,aktif
DRV00631,motor,4.56,nonaktif
DRV00632,mobil,4.74,nonaktif
DRV00633,motor,4.51,nonaktif
DRV00634,mobil,4.98,nonaktif
DRV00635,mobil,3.61,nonaktif
DRV00636,mobil,4.24,nonaktif
DRV00637,motor,4.39,aktif
DRV00638,motor,4.76,aktif
DRV00639,mobil,4.27,nonaktif
DRV00640,motor,3.98,aktif
DRV00641,mobil,4.05,nonaktif
DRV00642,motor,4.11,aktif
DRV00643,mobil,4.33,nonaktif
DRV00644,mobil,3.81,aktif
DRV00645,motor,4.94,nonaktif
DRV00646,mobil,3.62,aktif
DRV00647,mobil,4.52,aktif
DRV00648,motor,4.9,aktif
DRV00649,mobil,4.61,aktif
DRV00650,motor,4.89,nonaktif
DRV00651,motor,4.27,aktif
DRV00652,motor,4.47,nonaktif
DRV00653,motor,4.87,nonaktif
DRV00654,motor,4.81,aktif
DRV00655,mobil,4.38,aktif
DRV00656,mobil,4.67,aktif
DRV00657,mobil,4.33,aktif
DRV00658,motor,3.91,nonaktif
DRV00659,mobil,4.41,nonaktif
DRV00660,motor,3.86,nonaktif
DRV00661,motor,4.13,nonaktif
DRV00662,mobil,4.27,nonaktif
DRV00663,motor,4.99,aktif
DRV00664,mobil,4.03,nonaktif
DRV00665,motor,4.7,nonaktif
DRV00666,motor,4.61,aktif
DRV00667,motor,3.65,nonaktif
DRV00668,mobil,4.45,nonaktif
DRV00669,mobil,4.51,aktif
DRV00670,mobil,3.69,aktif
DRV00671,mobil,4.43,aktif
DRV00672,mobil,4.57,nonaktif
DRV00673,mobil,3.57,nonaktif
DRV00674,motor,3.66,aktif
DRV00675,mobil,3.6,nonaktif
DRV00676,motor,4.48,aktif
DRV00677,motor,4.9,nonaktif
DRV00678,motor,3.8,nonaktif
DRV00679,motor,3.99,nonaktif
DRV00680,motor,4.62,nonaktif
DRV00681,mobil,4.43,aktif
DRV00682,motor,3.85,nonaktif
DRV00683,mobil,4.04,nonaktif
DRV00684,mobil,4.12,nonaktif
DRV00685,mobil,3.54,aktif
DRV00686,mobil,4.59,nonaktif
DRV00687,mobil,4.72,aktif
DRV00688,mobil,3.83,aktif
DRV00689,mobil,4.22,nonaktif
DRV00690,motor,4.8,nonaktif
DRV00691,mobil,4.05,aktif
DRV00692,motor,4.49,aktif
DRV00693,motor,4.26,aktif
DRV00694,motor,3.71,aktif
DRV00695,mobil,4.34,nonaktif
DRV00696,motor,4.99,aktif
DRV00697,motor,3.76,aktif
DRV00698,mobil,4.78,nonaktif
DRV00699,motor,4.32,nonaktif
DRV00700,motor,4.37,nonaktif
DRV00701,motor,4.92,aktif
DRV00702,mobil,3.94,nonaktif
DRV00703,mobil,4.56,nonaktif
DRV00704,motor,4.59,nonaktif
DRV00705,mobil,4.32,aktif
DRV00706,mobil,3.9,aktif
DRV00707,mobil,3.6,aktif
DRV00708,mobil,3.52,aktif
DRV00709,motor,3.62,aktif
DRV00710,mobil,4.35,aktif
DRV00711,mobil,4.84,aktif
DRV00712,motor,4.68,nonaktif
DRV00713,mobil,4.5,nonaktif
DRV00714,motor,4.56,nonaktif
DRV00715,motor,4.54,nonaktif
DRV00716,mobil,3.54,aktif
DRV00717,motor,4.3,nonaktif
DRV00718,motor,4.96,aktif
DRV00719,motor,4.14,nonaktif
DRV00720,motor,4.36,nonaktif
DRV00721,motor,3.67,aktif
DRV00722,mobil,4.07,nonaktif
DRV00723,motor,4.4,nonaktif
DRV00724,mobil,4.12,aktif
DRV00725,motor,3.71,nonaktif
DRV00726,mobil,4.87,nonaktif
DRV00727,motor,4.72,aktif
DRV00728,motor,4.69,aktif
DRV00729,motor,4.52,aktif
DRV00730,mobil,4.42,aktif
DRV00731,motor,4.85,aktif
DRV00732,mobil,4.96,aktif
DRV00733,mobil,4.23,aktif
DRV00734,motor,4.21,nonaktif
DRV00735,motor,3.99,nonaktif
DRV00736,mobil,4.72,aktif
DRV00737,mobil,3.94,aktif
DRV00738,motor,3.87,nonaktif
DRV00739,motor,4.19,nonaktif
DRV00740,mobil,4.15,nonaktif
DRV00741,motor,4.8,nonaktif
DRV00742,motor,3.67,nonaktif
DRV00743,motor,4.23,aktif
DRV00744,mobil,3.83,nonaktif
DRV00745,mobil,4.84,nonaktif
DRV00746,mobil,4.37,aktif
DRV00747,motor,4.23,nonaktif
DRV00748,mobil,4.78,nonaktif
DRV00749,motor,3.95,aktif
DRV00750,motor,3.82,nonaktif
DRV00751,motor,4.96,nonaktif
DRV00752,mobil,3.6,aktif
DRV00753,mobil,4.67,nonaktif
