location_id,city,province,region
LOC00073,Cilegon,Nusa Tenggara Barat,Jawa Barat
LOC00074,Langsa,Banten,
LOC00075,Prabumulih,Papua,Jawa Barat
LOC00076,Solok,Jawa Timur,JAWA TENGAH
LOC00077,Malang,Lampung,Bali
LOC00078,Kota Administrasi Jakarta Barat,Jawa Tengah,Bali
LOC00079,Palu,Aceh,Bali
LOC00080,Pagaralam,Papua Barat,Jawa Barat
LOC00081,Kota Administrasi Jakarta Timur,Lampung,Bali
LOC00082,Yogyakarta,Nusa Tenggara Barat,JAWA TENGAH
LOC00083,Pariaman,Sumatera Selatan,jabodetabek
LOC00084,Batu,Aceh,JAWA TENGAH
LOC00085,Tebingtinggi,Gorontalo,jabodetabek
LOC00086,Singkawang,Kalimantan Timur,
LOC00087,Tomohon,Sulawesi Selatan,JAWA TENGAH
LOC00088,Pasuruan,DI Yogyakarta,JAWA TENGAH
LOC00089,Tangerang,Jawa Timur,Jawa Barat
LOC00090,Makassar,Jawa Timur,Jawa Barat
LOC00091,Sabang,Jambi,Jawa Barat
LOC00092,Magelang,Jawa Timur,jabodetabek
LOC00093,Pagaralam,Sumatera Selatan,Bali
LOC00094,Palopo,Kalimantan Utara,Jawa Barat
LOC00095,Parepare,Riau,jabodetabek
LOC00096,Malang,Kalimantan Utara,
LOC00097,Kotamobagu,Sulawesi Utara,Jawa Barat
LOC00098,Ternate,Maluku,
LOC00099,Makassar,Nusa Tenggara Timur,Jawa Barat
LOC00100,Samarinda,Bali,Jawa Barat
LOC00101,Cilegon,Jambi,
LOC00102,Dumai,Bali,JAWA TENGAH
LOC00103,Tebingtinggi,Sulawesi Tengah,Bali
LOC00104,Langsa,Aceh,
LOC00105,Salatiga,Maluku Utara,Jawa Barat
LOC00106,Singkawang,Kepulauan Riau,Jawa Barat
LOC00107,Bandar Lampung,Sumatera Selatan,Bali
LOC00108,Pekanbaru,Sumatera Utara,
LOC00109,Palembang,Kalimantan Barat,JAWA TENGAH
LOC00110,Padang,Kalimantan Timur,Jawa Barat
LOC00111,Bitung,Jawa Timur,Bali
LOC00112,Pekanbaru,Lampung,Jawa Barat
LOC00113,Serang,Gorontalo,JAWA TENGAH
LOC00114,Parepare,Lampung,JAWA TENGAH
LOC00115,Binjai,Sulawesi Selatan,
LOC00116,Subulussalam,Sumatera Utara,jabodetabek
LOC00117,Bekasi,Aceh,
LOC00118,Sabang,Sumatera Barat,
LOC00119,Palangkaraya,Nusa Tenggara Barat,JAWA TENGAH
LOC00120,Metro,Kalimantan Tengah,JAWA TENGAH
LOC00121,Padang,DKI Jakarta,jabodetabek
LOC00122,Kotamobagu,Bali,Bali
LOC00123,Palu,Jawa Timur,
LOC00124,Tasikmalaya,DI Yogyakarta,
LOC00125,Serang,Jambi,jabodetabek
LOC00126,Bogor,Sulawesi Barat,Bali
LOC00127,Bandar Lampung,Kalimantan Selatan,jabodetabek
LOC00128,Sawahlunto,Papua Barat,Bali
LOC00129,Palu,Sumatera Utara,Jawa Barat
LOC00130,Bitung,Sulawesi Selatan,JAWA TENGAH
LOC00131,Ambon,Jambi,Jawa Barat
LOC00132,Kota Administrasi Jakarta Timur,Sulawesi Utara,JAWA TENGAH
LOC00133,Surakarta,Sulawesi Tenggara,JAWA TENGAH
LOC00134,Kendari,Sumatera Barat,jabodetabek
LOC00135,Depok,Sumatera Selatan,JAWA TENGAH
LOC00136,Bekasi,Jawa Timur,JAWA TENGAH
LOC00137,Yogyakarta,Sulawesi Barat,Bali
LOC00138,Yogyakarta,Bali,JAWA TENGAH
LOC00139,Padang Sidempuan,Jawa Timur,jabodetabek
LOC00140,Kupang,Sumatera Barat,Jawa Barat
LOC00141,Serang,Papua,jabodetabek
LOC00142,Metro,DI Yogyakarta,jabodetabek
LOC00143,Tanjungbalai,Kepulauan Riau,JAWA TENGAH
LOC00144,Banjarmasin,Maluku,Jawa Barat
LOC00145,Metro,Kepulauan Bangka Belitung,Bali
LOC00146,Padang Sidempuan,Jawa Timur,jabodetabek
LOC00147,Kota Administrasi Jakarta Timur,Sumatera Utara,Bali
LOC00148,Bandung,Bengkulu,
LOC00149,Tangerang Selatan,DKI Jakarta,Jawa Barat
LOC00150,Semarang,DKI Jakarta,JAWA TENGAH
LOC00151,Tasikmalaya,Papua Barat,Bali
LOC00152,Sabang,Gorontalo,
LOC00153,Tegal,Sulawesi Tengah,JAWA TENGAH
LOC00154,Bima,Kalimantan Selatan,Jawa Barat
LOC00155,Bukittinggi,Sumatera Barat,jabodetabek
LOC00156,Sawahlunto,Papua,
LOC00157,Bogor,Kalimantan Timur,jabodetabek
LOC00158,Kupang,Jawa Tengah,JAWA TENGAH
LOC00159,Cimahi,Kalimantan Utara,JAWA TENGAH
LOC00160,Bima,Papua Barat,
LOC00161,Palangkaraya,Bengkulu,Bali
LOC00162,Pekanbaru,Kalimantan Utara,Jawa Barat
LOC00163,Metro,Sulawesi Tengah,JAWA TENGAH
LOC00164,Pematangsiantar,Sulawesi Tenggara,
LOC00165,Palembang,Kalimantan Selatan,Bali
LOC00166,Semarang,Jawa Barat,JAWA TENGAH
LOC00167,Kupang,Nusa Tenggara Timur,jabodetabek
LOC00168,Kota Administrasi Jakarta Timur,Kalimantan Utara,Jawa Barat
LOC00169,Tomohon,Kalimantan Utara,
LOC00170,Banjarmasin,Maluku Utara,
LOC00171,Kendari,Kalimantan Timur,Jawa Barat
LOC00172,Tebingtinggi,Kalimantan Utara,Bali
LOC00173,Ternate,DKI Jakarta,Bali
LOC00174,Sawahlunto,Banten,
LOC00175,Banjarmasin,Kalimantan Utara,JAWA TENGAH
LOC00176,Sorong,Banten,Bali
LOC00177,Payakumbuh,Kalimantan Tengah,Jawa Barat
LOC00178,Bandar Lampung,Nusa Tenggara Timur,JAWA TENGAH
LOC00179,Tebingtinggi,Aceh,Jawa Barat
LOC00180,Pariaman,Nusa Tenggara Timur,jabodetabek
LOC00181,Kupang,Kalimantan Timur,Jawa Barat
LOC00182,Bau-Bau,Kalimantan Barat,JAWA TENGAH
LOC00183,Bandung,Jawa Tengah,JAWA TENGAH
LOC00184,Lhokseumawe,Sumatera Utara,JAWA TENGAH
LOC00185,Bima,Nusa Tenggara Timur,
LOC00186,Tangerang Selatan,Sumatera Selatan,
LOC00187,Kupang,Kalimantan Selatan,jabodetabek
LOC00188,Sorong,Sulawesi Tengah,Bali
LOC00189,Palembang,Kepulauan Bangka Belitung,Jawa Barat
LOC00190,Singkawang,Sumatera Barat,
LOC00191,Jayapura,Sulawesi Tengah,
LOC00192,Banda Aceh,Kalimantan Timur,jabodetabek
LOC00193,Cirebon,DI Yogyakarta,JAWA TENGAH
LOC00194,Pontianak,DKI Jakarta,jabodetabek
LOC00195,Kota Administrasi Jakarta Timur,Aceh,Bali
LOC00196,Kota Administrasi Jakarta Utara,Kalimantan Selatan,Jawa Barat
LOC00197,Kota Administrasi Jakarta Selatan,Jambi,Bali
LOC00198,Tidore Kepulauan,Sumatera Selatan,jabodetabek
LOC00199,Sibolga,Sulawesi Selatan,JAWA TENGAH
LOC00200,Padang,Maluku,JAWA TENGAH
LOC00201,Palangkaraya,Gorontalo,jabodetabek
LOC00202,Ternate,Nusa Tenggara Timur,JAWA TENGAH
LOC00203,Kediri,Sulawesi Utara,
LOC00204,Bandung,Bali,JAWA TENGAH
LOC00205,Balikpapan,Maluku Utara,jabodetabek
LOC00206,Batam,Kepulauan Bangka Belitung,jabodetabek
LOC00207,Metro,DI Yogyakarta,jabodetabek
LOC00208,Lhokseumawe,Gorontalo,
LOC00209,Bontang,Sulawesi Tengah,
LOC00210,Balikpapan,Nusa Tenggara Barat,Jawa Barat
LOC00211,Kotamobagu,Jawa Timur,Jawa Barat
LOC00212,Cirebon,Bengkulu,JAWA TENGAH
LOC00213,Blitar,Jawa Timur,Bali
LOC00214,Kota Administrasi Jakarta Pusat,Kalimantan Timur,Jawa Barat
LOC00215,Palembang,Riau,Jawa Barat
LOC00216,Madiun,DKI Jakarta,Bali
LOC00217,Kupang,Papua Barat,Jawa Barat
LOC00218,Tanjungpinang,Kalimantan Timur,
LOC00219,Pontianak,Kepulauan Riau,Jawa Barat
LOC00220,Payakumbuh,Gorontalo,
LOC00221,Cimahi,Sumatera Selatan,JAWA TENGAH
LOC00222,Mojokerto,Jawa Timur,jabodetabek
LOC00223,Kota Administrasi Jakarta Barat,Kepulauan Bangka Belitung,Bali
LOC00224,Sibolga,Banten,jabodetabek
LOC00225,Pariaman,Gorontalo,
LOC00226,Tidore Kepulauan,Sumatera Barat,Jawa Barat
LOC00227,Jayapura,Aceh,Jawa Barat
LOC00228,Batu,Jawa Timur,
LOC00229,Padangpanjang,Kalimantan Barat,JAWA TENGAH
LOC00230,Bekasi,Gorontalo,
LOC00231,Batu,Kalimantan Barat,
LOC00232,Cirebon,Banten,Jawa Barat
LOC00233,Langsa,Sulawesi Tengah,Jawa Barat
LOC00234,Denpasar,DKI Jakarta,Jawa Barat
LOC00235,Kota Administrasi Jakarta Barat,Nusa Tenggara Barat,Jawa Barat
LOC00236,Lhokseumawe,Papua Barat,JAWA TENGAH
LOC00237,Metro,Bengkulu,Jawa Barat
LOC00238,Magelang,Sumatera Selatan,jabodetabek
LOC00239,Tidore Kepulauan,Riau,JAWA TENGAH
LOC00240,Balikpapan,Kepulauan Riau,Bali
LOC00241,Semarang,Bengkulu,
LOC00242,Bandar Lampung,Sulawesi Utara,Bali
LOC00243,Banda Aceh,Lampung,
LOC00244,Sawahlunto,Kepulauan Riau,JAWA TENGAH
LOC00245,Sorong,Nusa Tenggara Barat,Jawa Barat
LOC00246,Bandar Lampung,Sumatera Selatan,Jawa Barat
LOC00247,Binjai,Kepulauan Riau,
LOC00248,Padang,Riau,jabodetabek
LOC00249,Mojokerto,Papua,Bali
LOC00250,Serang,Kalimantan Tengah,
LOC00251,Palopo,Sumatera Selatan,Jawa Barat
LOC00252,Palu,Jawa Tengah,JAWA TENGAH
LOC00253,Palu,Sulawesi Utara,jabodetabek
LOC00254,Samarinda,Gorontalo,JAWA TENGAH
LOC00255,Tegal,Maluku,JAWA TENGAH
LOC00256,Kendari,Sumatera Barat,
LOC00257,Bontang,Papua,Bali
LOC00258,Banjar,Kepulauan Riau,Jawa Barat
LOC00259,Banjarbaru,Sulawesi Tenggara,
LOC00260,Cimahi,DKI Jakarta,Jawa Barat
LOC00261,Magelang,Kalimantan Utara,
LOC00262,Salatiga,Sulawesi Utara,Jawa Barat
LOC00263,Pangkalpinang,Sulawesi Selatan,
LOC00264,Subulussalam,Gorontalo,Bali
LOC00265,Kota Administrasi Jakarta Utara,Sulawesi Tenggara,Bali
LOC00266,Metro,Gorontalo,
LOC00267,Gorontalo,Kepulauan Riau,jabodetabek
LOC00268,Kota Administrasi Jakarta Pusat,Sulawesi Selatan,JAWA TENGAH
LOC00269,Tebingtinggi,Aceh,Bali
LOC00270,Tangerang Selatan,Papua Barat,jabodetabek
LOC00271,Kupang,Banten,JAWA TENGAH
LOC00272,Banjarmasin,Aceh,JAWA TENGAH
LOC00273,Meulaboh,Sumatera Utara,JAWA TENGAH
LOC00274,Kupang,Banten,JAWA TENGAH
LOC00275,Surakarta,Kalimantan Barat,Jawa Barat
LOC00276,Jayapura,DKI Jakarta,Jawa Barat
LOC00277,Kendari,DI Yogyakarta,Jawa Barat
LOC00278,Bandung,Riau,Jawa Barat
LOC00279,Medan,Maluku,Jawa Barat
LOC00280,Pematangsiantar,Kepulauan Riau,Bali
LOC00281,Surakarta,Sumatera Barat,jabodetabek
LOC00282,Prabumulih,Kepulauan Bangka Belitung,Bali
LOC00283,Pariaman,Nusa Tenggara Barat,jabodetabek
LOC00284,Makassar,DKI Jakarta,
LOC00285,Sibolga,Sulawesi Utara,Jawa Barat
LOC00286,Denpasar,Sulawesi Barat,
LOC00287,Singkawang,Kalimantan Selatan,jabodetabek
LOC00288,Bengkulu,Kalimantan Barat,
LOC00289,Tasikmalaya,Aceh,Bali
LOC00290,Malang,Sulawesi Tenggara,Jawa Barat
LOC00291,Batu,Kalimantan Timur,JAWA TENGAH
LOC00292,Palopo,Papua,JAWA TENGAH
LOC00293,Semarang,Jawa Barat,
LOC00294,Surabaya,Papua Barat,JAWA TENGAH
LOC00295,Samarinda,Sulawesi Tenggara,JAWA TENGAH
LOC00296,Mataram,Aceh,jabodetabek
LOC00297,Banjarmasin,DKI Jakarta,Bali
LOC00298,Langsa,Papua Barat,Bali
LOC00299,Kota Administrasi Jakarta Utara,Sulawesi Tenggara,Jawa Barat
LOC00300,Yogyakarta,DI Yogyakarta,jabodetabek
LOC00301,Bitung,Jawa Barat,jabodetabek
LOC00302,Probolinggo,Sumatera Barat,Bali
LOC00303,Padang,Papua Barat,jabodetabek
LOC00304,Bandar Lampung,Gorontalo,JAWA TENGAH
LOC00305,Binjai,DKI Jakarta,Jawa Barat
LOC00306,Bontang,Kalimantan Utara,jabodetabek
LOC00307,Gorontalo,Banten,Jawa Barat
LOC00308,Tual,DKI Jakarta,JAWA TENGAH
LOC00309,Padang,Sulawesi Barat,Bali
LOC00310,Cirebon,Sumatera Selatan,jabodetabek
LOC00311,Pariaman,Papua Barat,jabodetabek
LOC00312,Bekasi,Kalimantan Utara,JAWA TENGAH
LOC00313,Tasikmalaya,Bengkulu,JAWA TENGAH
LOC00314,Serang,Kalimantan Tengah,Jawa Barat
LOC00315,Singkawang,Nusa Tenggara Barat,Bali
LOC00316,Tarakan,Papua,Jawa Barat
LOC00317,Kupang,Sumatera Utara,Bali
LOC00318,Bontang,Nusa Tenggara Barat,
LOC00319,Pariaman,Kalimantan Tengah,JAWA TENGAH
LOC00320,Blitar,Lampung,jabodetabek
LOC00321,Pagaralam,Sulawesi Tengah,Jawa Barat
LOC00322,Subulussalam,Bengkulu,jabodetabek
LOC00323,Bogor,Kalimantan Tengah,
LOC00324,Subulussalam,Banten,jabodetabek
LOC00325,Padang,Kalimantan Barat,JAWA TENGAH
LOC00326,Tanjungpinang,Kepulauan Bangka Belitung,jabodetabek
LOC00327,Kediri,DI Yogyakarta,Jawa Barat
LOC00328,Batam,Kepulauan Riau,JAWA TENGAH
LOC00329,Sorong,Sulawesi Tenggara,JAWA TENGAH
LOC00330,Pekalongan,Kepulauan Bangka Belitung,
LOC00331,Gorontalo,Jawa Barat,
LOC00332,Bima,Nusa Tenggara Timur,jabodetabek
LOC00333,Tidore Kepulauan,Nusa Tenggara Timur,JAWA TENGAH
LOC00334,Jambi,Papua,jabodetabek
LOC00335,Dumai,Sulawesi Utara,JAWA TENGAH
LOC00336,Sabang,Jambi,jabodetabek
LOC00337,Cirebon,Sulawesi Selatan,Bali
LOC00338,Solok,Bali,Jawa Barat
LOC00339,Subulussalam,Sulawesi Barat,Jawa Barat
LOC00340,Banjar,Jawa Timur,Bali
LOC00341,Medan,Jawa Tengah,JAWA TENGAH
LOC00342,Bitung,Bengkulu,jabodetabek
LOC00343,Palopo,Jambi,Bali
LOC00344,Pematangsiantar,Bengkulu,jabodetabek
LOC00345,Pangkalpinang,Sumatera Selatan,jabodetabek
LOC00346,Kota Administrasi Jakarta Barat,Kalimantan Selatan,JAWA TENGAH
LOC00347,Makassar,Riau,Bali
LOC00348,Pangkalpinang,Jawa Timur,Bali
LOC00349,Tasikmalaya,Aceh,Jawa Barat
LOC00350,Kotamobagu,Jawa Timur,
LOC00351,Jayapura,Sulawesi Tengah,Jawa Barat
LOC00352,Banjarmasin,Kepulauan Riau,Bali
LOC00353,Padangpanjang,Lampung,jabodetabek
LOC00354,Yogyakarta,Bali,jabodetabek
LOC00355,Sibolga,Nusa Tenggara Timur,Jawa Barat
LOC00356,Padangpanjang,Maluku Utara,Bali
LOC00357,Semarang,Banten,jabodetabek
LOC00358,Pontianak,Jambi,Jawa Barat
LOC00359,Tidore Kepulauan,Sulawesi Tengah,
LOC00360,Magelang,Sulawesi Selatan,Jawa Barat
LOC00361,Dumai,Maluku Utara,Bali
LOC00362,Pariaman,Gorontalo,Jawa Barat
LOC00363,Bima,Kalimantan Utara,Jawa Barat
LOC00364,Kota Administrasi Jakarta Utara,Aceh,JAWA TENGAH
LOC00365,Sibolga,Sulawesi Barat,Bali
LOC00366,Jayapura,Sulawesi Utara,Jawa Barat
LOC00367,Bandar Lampung,Sumatera Utara,JAWA TENGAH
LOC00368,Bandar Lampung,Jawa Barat,Bali
LOC00369,Banda Aceh,Maluku,JAWA TENGAH
LOC00370,Malang,DI Yogyakarta,JAWA TENGAH
LOC00371,Palu,Kalimantan Timur,jabodetabek
LOC00372,Prabumulih,Kalimantan Tengah,
LOC00373,Subulussalam,Sulawesi Barat,jabodetabek
LOC00374,Palangkaraya,Jambi,JAWA TENGAH
LOC00375,Purwokerto,Riau,Bali
LOC00376,Tangerang Selatan,Banten,Jawa Barat
LOC00377,Sungai Penuh,Kepulauan Bangka Belitung,Jawa Barat
LOC00378,Cimahi,Lampung,JAWA TENGAH
LOC00379,Cilegon,Banten,JAWA TENGAH
LOC00380,Batam,Sumatera Selatan,JAWA TENGAH
LOC00381,Jambi,Jawa Barat,jabodetabek
LOC00382,Kota Administrasi Jakarta Pusat,Maluku,JAWA TENGAH
LOC00383,Banjarbaru,Sumatera Barat,
LOC00384,Semarang,Sulawesi Utara,
LOC00385,Lubuklinggau,Jawa Barat,jabodetabek
LOC00386,Sukabumi,Kalimantan Timur,Jawa Barat
LOC00387,Gorontalo,Sulawesi Barat,Bali
LOC00388,Tarakan,Banten,Bali
LOC00389,Lubuklinggau,Sumatera Barat,jabodetabek
LOC00390,Kota Administrasi Jakarta Barat,Kalimantan Timur,Jawa Barat
LOC00391,Banda Aceh,Jawa Barat,Jawa Barat
LOC00392,Singkawang,Kepulauan Bangka Belitung,JAWA TENGAH
LOC00393,Solok,Maluku Utara,JAWA TENGAH
LOC00394,Makassar,Kalimantan Timur,JAWA TENGAH
LOC00395,Yogyakarta,Sulawesi Tengah,jabodetabek
LOC00396,Pontianak,Aceh,jabodetabek
LOC00397,Tasikmalaya,Kalimantan Timur,JAWA TENGAH
LOC00398,Manado,Kepulauan Riau,Jawa Barat
LOC00399,Sungai Penuh,Kalimantan Timur,JAWA TENGAH
LOC00400,Mataram,Aceh,Bali
LOC00401,Pagaralam,Sulawesi Selatan,JAWA TENGAH
LOC00402,Serang,Kepulauan Riau,Jawa Barat
LOC00403,Madiun,DI Yogyakarta,JAWA TENGAH
LOC00404,Batu,Riau,JAWA TENGAH
LOC00405,Depok,Gorontalo,
LOC00406,Ambon,Maluku,
LOC00407,Mojokerto,Kalimantan Tengah,Jawa Barat
LOC00408,Payakumbuh,Kalimantan Timur,Bali
LOC00409,Tasikmalaya,Sulawesi Barat,Bali
LOC00410,Lhokseumawe,Jambi,JAWA TENGAH
LOC00411,Salatiga,Aceh,
LOC00412,Ternate,Maluku Utara,jabodetabek
LOC00413,Pangkalpinang,Gorontalo,Jawa Barat
LOC00414,Cirebon,Nusa Tenggara Barat,
LOC00415,Subulussalam,Riau,jabodetabek
LOC00416,Parepare,Sumatera Barat,Bali
LOC00417,Kota Administrasi Jakarta Selatan,Sulawesi Tengah,jabodetabek
LOC00418,Padang,Sulawesi Utara,Bali
LOC00419,Purwokerto,Sulawesi Utara,Bali
LOC00420,Meulaboh,Kepulauan Bangka Belitung,jabodetabek
LOC00421,Blitar,Sulawesi Tengah,JAWA TENGAH
LOC00422,Makassar,DI Yogyakarta,
LOC00423,Blitar,Sulawesi Utara,JAWA TENGAH
LOC00424,Palangkaraya,Kalimantan Barat,jabodetabek
LOC00425,Yogyakarta,Maluku Utara,Bali
LOC00426,Semarang,Sumatera Selatan,JAWA TENGAH
LOC00427,Lhokseumawe,Sumatera Barat,JAWA TENGAH
LOC00428,Pasuruan,Kepulauan Bangka Belitung,Jawa Barat
LOC00429,Kota Administrasi Jakarta Utara,Kalimantan Timur,jabodetabek
LOC00430,Palu,Sulawesi Tengah,Jawa Barat
LOC00431,Subulussalam,Nusa Tenggara Timur,
LOC00432,Bandar Lampung,Jawa Barat,jabodetabek
LOC00433,Sibolga,Kalimantan Barat,Bali
LOC00434,Yogyakarta,Bengkulu,
LOC00435,Denpasar,Sulawesi Selatan,jabodetabek
LOC00436,Tasikmalaya,DKI Jakarta,jabodetabek
LOC00437,Pangkalpinang,Sulawesi Tenggara,Bali
LOC00438,Bogor,Jambi,JAWA TENGAH
LOC00439,Bandar Lampung,Kepulauan Bangka Belitung,jabodetabek
LOC00440,Banjarbaru,Kepulauan Bangka Belitung,
LOC00441,Palembang,Maluku Utara,
LOC00442,Sorong,Sulawesi Tenggara,
LOC00443,Magelang,Nusa Tenggara Barat,JAWA TENGAH
LOC00444,Pontianak,Sulawesi Selatan,
LOC00445,Parepare,Banten,
LOC00446,Cilegon,Sumatera Utara,Bali
LOC00447,Malang,Sulawesi Utara,jabodetabek
LOC00448,Jambi,Kalimantan Selatan,Jawa Barat
LOC00449,Tanjungbalai,Aceh,jabodetabek
LOC00450,Bontang,Sulawesi Selatan,Jawa Barat
LOC00451,Surakarta,Kalimantan Utara,JAWA TENGAH
LOC00452,Ambon,Sulawesi Utara,
LOC00453,Mojokerto,Kalimantan Utara,Jawa Barat
LOC00454,Bekasi,Aceh,JAWA TENGAH
LOC00455,Bukittinggi,Kepulauan Riau,Jawa Barat
LOC00456,Ternate,Nusa Tenggara Timur,Jawa Barat
LOC00457,Palopo,Kepulauan Bangka Belitung,Bali
LOC00458,Kota Administrasi Jakarta Barat,Jambi,
LOC00459,Parepare,Maluku Utara,Jawa Barat
LOC00460,Padangpanjang,Sulawesi Tenggara,JAWA TENGAH
LOC00461,Pagaralam,Kepulauan Bangka Belitung,Jawa Barat
LOC00462,Tangerang,Sulawesi Tenggara,JAWA TENGAH
LOC00463,Samarinda,Jawa Tengah,JAWA TENGAH
LOC00464,Banjarmasin,Kepulauan Riau,Bali
LOC00465,Madiun,DKI Jakarta,
LOC00466,Sabang,Gorontalo,Bali
LOC00467,Meulaboh,Jawa Barat,JAWA TENGAH
LOC00468,Manado,Papua,
LOC00469,Ternate,Maluku Utara,JAWA TENGAH
LOC00470,Tanjungbalai,Kalimantan Barat,JAWA TENGAH
LOC00471,Binjai,Riau,JAWA TENGAH
LOC00472,Kupang,Kalimantan Tengah,Jawa Barat
LOC00473,Madiun,Sumatera Utara,Bali
LOC00474,Tanjungbalai,Papua Barat,jabodetabek
LOC00475,Singkawang,Riau,jabodetabek
LOC00476,Bukittinggi,Kepulauan Riau,Bali
LOC00477,Banjarmasin,Gorontalo,
LOC00478,Tanjungbalai,Sulawesi Tenggara,Jawa Barat
LOC00479,Bandar Lampung,Papua,JAWA TENGAH
LOC00480,Salatiga,Nusa Tenggara Barat,Bali
LOC00481,Jambi,Nusa Tenggara Timur,Bali
LOC00482,Balikpapan,Sulawesi Barat,jabodetabek
LOC00483,Mojokerto,Bali,jabodetabek
LOC00484,Metro,Lampung,
LOC00485,Palu,Aceh,Jawa Barat
LOC00486,Salatiga,Aceh,Jawa Barat
LOC00487,Pangkalpinang,Banten,jabodetabek
LOC00488,Tegal,Kepulauan Riau,Bali
LOC00489,Sungai Penuh,Nusa Tenggara Timur,JAWA TENGAH
LOC00490,Padangpanjang,Sulawesi Tenggara,jabodetabek
LOC00491,Binjai,Aceh,
LOC00492,Payakumbuh,Kepulauan Bangka Belitung,Bali
LOC00493,Dumai,Kalimantan Selatan,Jawa Barat
LOC00494,Kota Administrasi Jakarta Timur,Bengkulu,Bali
LOC00495,Palu,Sulawesi Utara,jabodetabek
LOC00496,Pekanbaru,Jawa Barat,Bali
LOC00497,Banjarmasin,Papua Barat,jabodetabek
LOC00498,Manado,Sumatera Selatan,
LOC00499,Tegal,Jambi,
LOC00500,Bandung,Sulawesi Selatan,Bali
LOC00501,Cilegon,Jambi,jabodetabek
LOC00502,Kediri,Kepulauan Bangka Belitung,JAWA TENGAH
LOC00503,Sawahlunto,Jawa Timur,jabodetabek
