customer_id,gender,age_group,join_date,city
CUST00089,p,36-45,2025-09-03,medan
CUST00090,L,26-35,2024-11-19,pasuruan
CUST00091,perempuan,46+,2025-03-18,Banjar
CUST00092,L,26-35,2024-10-18,palu
CUST00093,p,26-35,2024-12-30,Bengkulu
CUST00094,L,26-35,2025-06-03,Semarang
CUST00095,Laki-laki,26-35,2026-01-07,Manado
CUST00096,perempuan,26-35,2024-08-31,mojokerto
CUST00097,perempuan,46+,2026-02-19,Subulussalam
CUST00098,Laki-laki,26-35,2025-06-02,sawahlunto
CUST00099,perempuan,36-45,2024-09-23,surabaya
CUST00100,p,18-25,2025-10-21,jambi
CUST00101,L,46+,2025-06-14,tarakan
CUST00102,P,36-45,2025-05-30,Tangerang Selatan
CUST00103,perempuan,36-45,2024-05-28,
CUST00104,Laki-laki,18-25,2024-10-24,sibolga
CUST00105,perempuan,46+,2024-08-12,
CUST00106,p,46+,2025-08-08,Pekanbaru
CUST00107,P,18-25,2025-09-23,Bima
CUST00108,perempuan,18-25,2025-04-30,depok
CUST00109,perempuan,18-25,2025-05-30,denpasar
CUST00110,Laki-laki,36-45,2024-09-15,tual
CUST00111,P,46+,2025-09-27,salatiga
CUST00112,p,18-25,2025-03-04,banda aceh
CUST00113,Laki-laki,36-45,2025-04-22,Sabang
CUST00114,Laki-laki,18-25,2025-03-15,Palopo
CUST00115,Laki-laki,18-25,2025-04-17,kotamobagu
CUST00116,L,18-25,2026-05-10,Blitar
CUST00117,p,26-35,2026-02-18,Surabaya
CUST00118,perempuan,18-25,2025-05-29,bogor
CUST00119,P,46+,2026-04-21,jayapura
CUST00120,perempuan,36-45,2026-05-12,Tual
CUST00121,perempuan,26-35,2025-08-10,tangerang selatan
CUST00122,P,46+,2025-03-02,Bandar Lampung
CUST00123,perempuan,46+,2026-04-29,pagaralam
CUST00124,P,36-45,2025-01-07,Pangkalpinang
CUST00125,L,36-45,2024-12-07,banda aceh
CUST00126,p,26-35,2025-11-27,parepare
CUST00127,Laki-laki,36-45,2025-11-24,solok
CUST00128,perempuan,46+,2024-11-30,tanjungbalai
CUST00129,p,46+,2025-09-25,palangkaraya
CUST00130,Laki-laki,26-35,2025-07-21,bau-bau
CUST00131,P,26-35,2025-02-20,lhokseumawe
CUST00132,Laki-laki,18-25,2025-05-20,Lhokseumawe
CUST00133,P,46+,2024-12-13,pematangsiantar
CUST00134,p,26-35,2025-02-01,Bandar Lampung
CUST00135,Laki-laki,18-25,2024-05-26,Banda Aceh
CUST00136,P,18-25,2024-05-18,gorontalo
CUST00137,L,26-35,2025-04-24,blitar
CUST00138,p,18-25,2024-11-12,tebingtinggi
CUST00139,P,46+,2025-05-23,Kediri
CUST00140,p,18-25,2025-09-03,kota administrasi jakarta barat
CUST00141,P,26-35,2025-11-24,Binjai
CUST00142,p,46+,2024-06-27,Ambon
CUST00143,p,46+,2025-01-30,Kota Administrasi Jakarta Barat
CUST00144,perempuan,26-35,2025-12-25,Bekasi
CUST00145,Laki-laki,18-25,2025-02-11,tasikmalaya
CUST00146,L,18-25,2025-06-25,subulussalam
CUST00147,P,26-35,2025-10-12,depok
CUST00148,Laki-laki,46+,2025-05-15,ternate
CUST00149,p,46+,2025-05-03,Pagaralam
CUST00150,L,18-25,2025-08-16,metro
CUST00151,L,26-35,2025-01-14,kendari
CUST00152,Laki-laki,36-45,2025-04-02,tebingtinggi
CUST00153,p,26-35,2024-07-08,serang
CUST00154,Laki-laki,46+,2026-03-22,Denpasar
CUST00155,L,26-35,2024-05-24,binjai
CUST00156,perempuan,46+,2025-08-02,kupang
CUST00157,p,46+,2026-01-09,Palangkaraya
CUST00158,p,36-45,2025-09-15,Ternate
CUST00159,perempuan,46+,2026-04-09,Palopo
CUST00160,L,46+,2025-06-23,Tarakan
CUST00161,L,26-35,2025-12-21,Palu
CUST00162,P,46+,2025-08-22,Denpasar
CUST00163,P,26-35,2025-12-21,Sibolga
CUST00164,P,18-25,2024-12-20,kotamobagu
CUST00165,P,18-25,2026-04-05,Sukabumi
CUST00166,P,36-45,2025-10-26,Banjarbaru
CUST00167,perempuan,46+,2025-11-05,Kotamobagu
CUST00168,P,46+,2025-07-06,Batu
CUST00169,Laki-laki,26-35,2024-11-29,Tual
CUST00170,Laki-laki,36-45,2025-06-27,metro
CUST00171,P,36-45,2024-12-26,denpasar
CUST00172,P,26-35,2024-11-29,Depok
CUST00173,p,26-35,2024-07-15,blitar
CUST00174,P,46+,2025-07-08,lubuklinggau
CUST00175,L,26-35,2024-06-22,denpasar
CUST00176,p,26-35,2026-05-10,Kotamobagu
CUST00177,p,26-35,2025-11-27,Singkawang
CUST00178,p,46+,2024-06-04,Jayapura
CUST00179,p,18-25,2025-07-18,prabumulih
CUST00180,P,36-45,2026-01-31,tanjungbalai
CUST00181,L,26-35,2025-03-19,Bandung
CUST00182,L,36-45,2025-06-07,Tangerang
CUST00183,Laki-laki,36-45,2024-05-18,Semarang
CUST00184,p,36-45,2025-02-20,tasikmalaya
CUST00185,p,26-35,2024-05-29,Tomohon
CUST00186,p,46+,2025-09-26,kediri
CUST00187,P,26-35,2025-08-07,bandar lampung
CUST00188,p,36-45,2024-11-09,Tangerang Selatan
CUST00189,p,26-35,2024-06-25,Bandung
CUST00190,P,26-35,2025-01-30,solok
CUST00191,P,26-35,2025-08-13,Batam
CUST00192,P,46+,2024-11-05,
CUST00193,p,18-25,2025-03-03,Banjar
CUST00194,L,18-25,2025-03-22,palopo
CUST00195,L,26-35,2026-03-01,bau-bau
CUST00196,Laki-laki,26-35,2025-09-12,sungai penuh
CUST00197,P,18-25,2025-05-29,pagaralam
CUST00198,p,18-25,2024-09-04,Kota Administrasi Jakarta Selatan
CUST00199,L,26-35,2025-03-10,
CUST00200,perempuan,18-25,2025-01-17,singkawang
CUST00201,L,26-35,2024-12-31,Langsa
CUST00202,perempuan,36-45,2025-02-01,Bontang
CUST00203,Laki-laki,46+,2025-09-20,Tarakan
CUST00204,p,46+,2025-12-08,mataram
CUST00205,p,46+,2025-05-01,kotamobagu
CUST00206,p,46+,2024-06-23,Prabumulih
CUST00207,p,36-45,2025-12-10,Batam
CUST00208,P,46+,2024-08-13,Pontianak
CUST00209,perempuan,26-35,2024-11-22,Kupang
CUST00210,perempuan,26-35,2025-03-30,Tangerang
CUST00211,L,46+,2025-12-08,parepare
CUST00212,p,36-45,2024-06-19,bandung
CUST00213,p,26-35,2025-07-13,singkawang
CUST00214,L,26-35,2024-12-23,tebingtinggi
CUST00215,Laki-laki,26-35,2024-12-26,Kota Administrasi Jakarta Selatan
CUST00216,P,46+,2026-03-12,Probolinggo
CUST00217,Laki-laki,18-25,2025-06-07,Bitung
CUST00218,Laki-laki,18-25,2026-02-24,Cilegon
CUST00219,Laki-laki,26-35,2024-10-09,palembang
CUST00220,L,36-45,2024-09-08,gorontalo
CUST00221,perempuan,46+,2026-04-07,madiun
CUST00222,p,46+,2024-07-25,Palangkaraya
CUST00223,Laki-laki,26-35,2024-09-28,Denpasar
CUST00224,L,46+,2024-07-23,Pekanbaru
CUST00225,perempuan,26-35,2025-01-24,banda aceh
CUST00226,L,26-35,2025-11-28,Kupang
CUST00227,perempuan,36-45,2024-05-30,balikpapan
CUST00228,p,36-45,2025-03-12,Lubuklinggau
CUST00229,P,26-35,2024-10-22,Tanjungpinang
CUST00230,p,36-45,2024-09-17,Sukabumi
CUST00231,L,46+,2026-04-06,Pematangsiantar
CUST00232,perempuan,18-25,2025-10-07,pekanbaru
CUST00233,p,26-35,2025-10-11,Cilegon
CUST00234,Laki-laki,36-45,2025-11-25,balikpapan
CUST00235,L,26-35,2025-04-04,Sabang
CUST00236,Laki-laki,26-35,2025-04-09,bontang
CUST00237,perempuan,18-25,2025-10-06,jambi
CUST00238,L,36-45,2024-06-17,
CUST00239,Laki-laki,26-35,2024-07-19,bekasi
CUST00240,L,46+,2024-07-19,Medan
CUST00241,P,36-45,2025-02-22,palu
CUST00242,Laki-laki,36-45,2025-11-09,tangerang selatan
CUST00243,Laki-laki,18-25,2024-11-27,Kota Administrasi Jakarta Barat
CUST00244,perempuan,18-25,2025-10-30,lhokseumawe
CUST00245,P,26-35,2024-09-17,subulussalam
CUST00246,Laki-laki,18-25,2024-12-23,Sukabumi
CUST00247,L,26-35,2025-01-14,bau-bau
CUST00248,perempuan,26-35,2025-10-10,Tangerang Selatan
CUST00249,L,26-35,2025-09-13,Pagaralam
CUST00250,p,26-35,2026-04-01,sawahlunto
CUST00251,Laki-laki,18-25,2025-01-23,Kediri
CUST00252,P,36-45,2025-12-21,bau-bau
CUST00253,Laki-laki,26-35,2024-06-05,Denpasar
CUST00254,Laki-laki,26-35,2026-02-12,mataram
CUST00255,P,36-45,2026-01-19,Bau-Bau
CUST00256,perempuan,36-45,2025-03-04,Kota Administrasi Jakarta Selatan
CUST00257,p,36-45,2024-06-25,Tasikmalaya
CUST00258,perempuan,46+,2025-09-02,samarinda
CUST00259,p,18-25,2026-01-27,Pekanbaru
CUST00260,p,46+,2024-09-07,madiun
CUST00261,L,36-45,2026-01-23,Pagaralam
CUST00262,p,36-45,2025-10-29,Banjar
CUST00263,Laki-laki,18-25,2025-07-29,Singkawang
CUST00264,p,18-25,2025-03-10,
CUST00265,p,36-45,2024-09-13,pontianak
CUST00266,perempuan,18-25,2026-01-28,Lubuklinggau
CUST00267,Laki-laki,18-25,2025-08-04,payakumbuh
CUST00268,perempuan,36-45,2026-04-21,Tomohon
CUST00269,p,26-35,2025-11-07,Pekalongan
CUST00270,perempuan,26-35,2026-03-09,bandung
CUST00271,Laki-laki,18-25,2025-04-06,Singkawang
CUST00272,p,26-35,2024-11-13,pekalongan
CUST00273,Laki-laki,18-25,2025-05-07,Bukittinggi
CUST00274,Laki-laki,26-35,2026-03-28,kota administrasi jakarta utara
CUST00275,P,36-45,2025-03-30,bekasi
CUST00276,p,46+,2025-12-05,dumai
CUST00277,L,18-25,2024-12-03,Batu
CUST00278,Laki-laki,26-35,2025-12-17,magelang
CUST00279,L,18-25,2024-05-30,Palembang
CUST00280,p,36-45,2024-09-20,kota administrasi jakarta pusat
CUST00281,p,46+,2025-10-26,ternate
CUST00282,P,46+,2025-03-16,Parepare
CUST00283,p,26-35,2025-04-28,sorong
CUST00284,p,26-35,2024-10-22,palembang
CUST00285,L,18-25,2025-12-30,Kupang
CUST00286,Laki-laki,36-45,2024-10-02,pematangsiantar
CUST00287,p,18-25,2025-10-26,Kediri
CUST00288,perempuan,36-45,2026-04-16,purwokerto
CUST00289,L,18-25,2025-07-22,madiun
CUST00290,Laki-laki,36-45,2024-09-07,surakarta
CUST00291,L,26-35,2024-10-24,Pematangsiantar
CUST00292,Laki-laki,18-25,2024-06-16,Sukabumi
CUST00293,L,36-45,2025-09-15,yogyakarta
CUST00294,P,46+,2025-10-28,sawahlunto
CUST00295,P,26-35,2026-03-30,Bau-Bau
CUST00296,L,36-45,2024-11-04,Kota Administrasi Jakarta Barat
CUST00297,P,46+,2025-05-06,Tual
CUST00298,p,26-35,2024-08-17,Tanjungpinang
CUST00299,Laki-laki,36-45,2026-01-02,Ternate
CUST00300,L,46+,2025-02-18,Sabang
CUST00301,P,36-45,2026-04-01,Banjarbaru
CUST00302,P,26-35,2025-10-13,parepare
CUST00303,Laki-laki,46+,2025-12-27,madiun
CUST00304,L,36-45,2025-05-20,Meulaboh
CUST00305,P,26-35,2024-11-17,
CUST00306,p,46+,2025-06-07,ambon
CUST00307,p,36-45,2024-11-07,Makassar
CUST00308,perempuan,46+,2025-10-18,Mojokerto
CUST00309,p,46+,2024-07-08,Pangkalpinang
CUST00310,L,36-45,2025-11-25,bukittinggi
CUST00311,P,36-45,2025-04-21,kotamobagu
CUST00312,L,46+,2025-12-01,Malang
CUST00313,perempuan,26-35,2025-08-21,Pagaralam
CUST00314,p,18-25,2026-02-07,Kota Administrasi Jakarta Pusat
CUST00315,perempuan,36-45,2024-10-10,Padang
CUST00316,p,18-25,2025-07-07,Surabaya
CUST00317,Laki-laki,18-25,2026-03-02,lubuklinggau
CUST00318,Laki-laki,26-35,2025-05-24,payakumbuh
CUST00319,P,26-35,2025-01-10,meulaboh
CUST00320,L,46+,2025-05-23,batam
CUST00321,p,46+,2024-06-09,Medan
CUST00322,Laki-laki,18-25,2025-08-24,Surabaya
CUST00323,perempuan,26-35,2024-06-21,
CUST00324,p,36-45,2026-04-17,pangkalpinang
CUST00325,P,36-45,2026-05-17,Balikpapan
CUST00326,P,36-45,2025-08-13,yogyakarta
CUST00327,Laki-laki,36-45,2024-07-16,kota administrasi jakarta pusat
CUST00328,Laki-laki,18-25,2024-11-06,Salatiga
CUST00329,perempuan,18-25,2025-05-05,Kendari
CUST00330,P,18-25,2025-02-02,tangerang
CUST00331,L,26-35,2025-12-31,
CUST00332,Laki-laki,46+,2026-02-01,Pariaman
CUST00333,p,36-45,2024-12-10,blitar
CUST00334,p,46+,2024-10-31,sawahlunto
CUST00335,perempuan,26-35,2026-04-15,Makassar
CUST00336,P,36-45,2025-01-10,depok
CUST00337,p,26-35,2026-02-21,jambi
CUST00338,L,36-45,2026-04-03,Mojokerto
CUST00339,Laki-laki,18-25,2025-04-30,kota administrasi jakarta timur
CUST00340,p,46+,2026-04-09,prabumulih
CUST00341,P,18-25,2026-05-17,Bima
CUST00342,perempuan,26-35,2026-03-20,Subulussalam
CUST00343,L,18-25,2025-01-25,Kendari
CUST00344,p,36-45,2026-02-15,kendari
CUST00345,P,26-35,2026-01-28,bima
CUST00346,P,46+,2025-12-18,sukabumi
CUST00347,L,36-45,2026-03-07,cilegon
CUST00348,L,46+,2025-10-11,ternate
CUST00349,p,36-45,2026-02-21,Sibolga
CUST00350,Laki-laki,18-25,2025-03-09,Meulaboh
CUST00351,Laki-laki,26-35,2025-12-06,Langsa
CUST00352,L,18-25,2025-10-29,depok
CUST00353,perempuan,36-45,2025-07-23,cirebon
CUST00354,Laki-laki,18-25,2024-12-27,Kota Administrasi Jakarta Selatan
CUST00355,Laki-laki,26-35,2025-12-14,Bandung
CUST00356,perempuan,26-35,2025-03-10,cilegon
CUST00357,Laki-laki,46+,2025-01-17,tegal
CUST00358,perempuan,26-35,2025-11-28,Probolinggo
CUST00359,Laki-laki,26-35,2024-11-24,Banjarbaru
CUST00360,P,26-35,2024-09-25,bogor
CUST00361,L,26-35,2024-06-20,banjarbaru
CUST00362,L,46+,2026-03-16,Sorong
CUST00363,P,46+,2025-08-12,Pontianak
CUST00364,P,36-45,2026-05-06,payakumbuh
CUST00365,P,18-25,2026-04-05,madiun
CUST00366,Laki-laki,36-45,2026-05-06,bengkulu
CUST00367,p,36-45,2024-07-31,serang
CUST00368,L,26-35,2026-01-09,padang
CUST00369,P,36-45,2024-06-18,kota administrasi jakarta utara
CUST00370,L,26-35,2026-02-18,kota administrasi jakarta selatan
CUST00371,Laki-laki,46+,2026-03-24,sawahlunto
CUST00372,p,36-45,2026-02-09,pontianak
CUST00373,P,46+,2024-10-23,Bandung
CUST00374,Laki-laki,18-25,2024-10-18,Magelang
CUST00375,P,26-35,2025-09-27,cimahi
CUST00376,p,18-25,2024-11-24,
CUST00377,Laki-laki,46+,2025-12-13,Binjai
CUST00378,Laki-laki,26-35,2025-03-15,ternate
CUST00379,P,46+,2024-12-20,tarakan
CUST00380,L,26-35,2026-05-06,
CUST00381,L,18-25,2024-10-12,Magelang
CUST00382,P,26-35,2026-02-04,bitung
CUST00383,P,46+,2026-04-15,pekalongan
CUST00384,Laki-laki,18-25,2026-03-10,Cirebon
CUST00385,p,46+,2025-06-02,semarang
CUST00386,L,46+,2024-06-21,tanjungpinang
CUST00387,perempuan,36-45,2024-07-16,tasikmalaya
CUST00388,p,26-35,2025-01-04,kediri
CUST00389,Laki-laki,46+,2025-11-11,surakarta
CUST00390,perempuan,36-45,2025-10-25,balikpapan
CUST00391,p,36-45,2026-05-14,serang
CUST00392,p,26-35,2024-09-30,parepare
CUST00393,p,26-35,2024-07-23,tidore kepulauan
CUST00394,perempuan,36-45,2025-02-16,mataram
CUST00395,P,36-45,2026-04-21,pekanbaru
CUST00396,Laki-laki,36-45,2024-12-25,balikpapan
CUST00397,L,46+,2025-02-24,kupang
CUST00398,p,46+,2026-01-09,
CUST00399,p,18-25,2025-02-03,pagaralam
CUST00400,p,26-35,2026-02-12,banjarmasin
CUST00401,L,36-45,2024-08-01,subulussalam
CUST00402,p,36-45,2024-06-08,Tual
CUST00403,p,26-35,2024-11-05,kota administrasi jakarta utara
CUST00404,Laki-laki,18-25,2025-03-29,Kendari
CUST00405,p,26-35,2026-03-07,mojokerto
CUST00406,L,36-45,2024-11-11,
CUST00407,L,26-35,2026-03-18,singkawang
CUST00408,P,46+,2024-08-16,bukittinggi
CUST00409,perempuan,36-45,2025-07-31,Tidore Kepulauan
CUST00410,P,36-45,2025-06-30,Bengkulu
CUST00411,L,36-45,2025-06-10,Langsa
CUST00412,L,18-25,2026-01-13,palangkaraya
CUST00413,perempuan,26-35,2024-12-04,Singkawang
CUST00414,P,18-25,2024-09-12,Bukittinggi
CUST00415,L,18-25,2024-12-26,yogyakarta
CUST00416,P,26-35,2025-04-03,Bandung
CUST00417,P,36-45,2025-11-08,kediri
CUST00418,Laki-laki,46+,2026-01-21,
CUST00419,Laki-laki,18-25,2024-07-16,Padang Sidempuan
CUST00420,p,46+,2026-02-21,Palembang
CUST00421,Laki-laki,18-25,2024-12-25,Bitung
CUST00422,perempuan,26-35,2026-01-25,Singkawang
CUST00423,perempuan,26-35,2024-05-24,Palangkaraya
CUST00424,p,18-25,2025-05-11,Jayapura
CUST00425,L,46+,2024-08-06,manado
CUST00426,p,18-25,2025-04-07,tasikmalaya
CUST00427,P,26-35,2025-11-27,kotamobagu
CUST00428,P,46+,2024-11-08,Palopo
CUST00429,p,36-45,2025-05-12,batu
CUST00430,P,46+,2024-08-21,batam
CUST00431,perempuan,18-25,2025-01-28,Padangpanjang
CUST00432,L,18-25,2024-11-01,Tidore Kepulauan
CUST00433,p,36-45,2025-07-29,palopo
CUST00434,Laki-laki,26-35,2025-03-18,depok
CUST00435,P,26-35,2025-10-01,Serang
CUST00436,perempuan,26-35,2026-05-12,Banjar
CUST00437,p,36-45,2025-03-28,Sabang
CUST00438,perempuan,26-35,2025-11-03,Banda Aceh
CUST00439,perempuan,46+,2024-08-13,lhokseumawe
CUST00440,p,36-45,2024-07-12,Tasikmalaya
CUST00441,Laki-laki,18-25,2025-12-17,Cirebon
CUST00442,Laki-laki,46+,2026-05-13,Lhokseumawe
CUST00443,P,46+,2024-06-15,bontang
CUST00444,Laki-laki,46+,2026-05-14,denpasar
CUST00445,p,26-35,2024-05-24,mataram
CUST00446,Laki-laki,26-35,2024-07-02,Sungai Penuh
CUST00447,L,26-35,2026-03-20,Dumai
CUST00448,Laki-laki,26-35,2025-01-20,Banjarbaru
CUST00449,p,26-35,2024-09-03,surakarta
CUST00450,perempuan,36-45,2025-12-24,Tanjungpinang
CUST00451,p,18-25,2025-08-26,payakumbuh
CUST00452,L,26-35,2026-02-15,kediri
CUST00453,perempuan,46+,2025-07-23,Bandar Lampung
CUST00454,p,46+,2025-01-12,pekalongan
CUST00455,perempuan,26-35,2025-11-30,Makassar
CUST00456,p,18-25,2024-08-09,Jambi
CUST00457,L,36-45,2026-01-07,depok
CUST00458,P,18-25,2025-07-14,Solok
CUST00459,L,36-45,2024-10-28,sorong
CUST00460,Laki-laki,46+,2024-07-31,sorong
CUST00461,Laki-laki,18-25,2026-03-28,Singkawang
CUST00462,Laki-laki,26-35,2024-10-11,Binjai
CUST00463,L,18-25,2026-01-16,surabaya
CUST00464,Laki-laki,36-45,2024-09-11,tanjungbalai
CUST00465,P,18-25,2025-09-26,tarakan
CUST00466,L,18-25,2025-02-28,Tidore Kepulauan
CUST00467,perempuan,18-25,2025-04-08,kota administrasi jakarta selatan
CUST00468,Laki-laki,26-35,2025-04-14,
CUST00469,L,18-25,2026-03-24,banda aceh
CUST00470,P,46+,2026-01-12,bukittinggi
CUST00471,P,46+,2024-08-10,Samarinda
CUST00472,perempuan,26-35,2025-03-09,Batu
CUST00473,perempuan,26-35,2025-10-06,Palopo
CUST00474,P,26-35,2026-02-10,Palembang
CUST00475,p,36-45,2025-11-24,cirebon
CUST00476,p,46+,2025-02-06,Blitar
CUST00477,Laki-laki,46+,2024-12-27,kediri
CUST00478,Laki-laki,26-35,2024-06-11,banjarmasin
CUST00479,perempuan,36-45,2024-07-13,Palu
CUST00480,perempuan,36-45,2025-05-19,Mojokerto
CUST00481,p,26-35,2025-08-03,pasuruan
CUST00482,Laki-laki,26-35,2024-07-05,tangerang selatan
CUST00483,perempuan,18-25,2026-02-17,Metro
CUST00484,perempuan,36-45,2024-09-21,tegal
CUST00485,Laki-laki,36-45,2025-01-03,Banjarmasin
CUST00486,p,36-45,2024-08-15,Subulussalam
CUST00487,perempuan,36-45,2024-06-24,surakarta
CUST00488,Laki-laki,36-45,2024-06-13,Sukabumi
CUST00489,P,36-45,2025-10-16,Banjarbaru
CUST00490,L,26-35,2024-06-23,Sabang
CUST00491,Laki-laki,46+,2024-11-24,pariaman
CUST00492,perempuan,26-35,2024-08-21,jayapura
CUST00493,P,46+,2024-06-21,madiun
CUST00494,Laki-laki,26-35,2026-03-10,palu
CUST00495,Laki-laki,18-25,2026-03-23,kota administrasi jakarta timur
CUST00496,L,36-45,2025-07-26,pontianak
CUST00497,L,46+,2024-11-15,semarang
CUST00498,perempuan,36-45,2025-08-23,kota administrasi jakarta barat
CUST00499,perempuan,36-45,2024-09-13,Ternate
CUST00500,L,46+,2026-02-17,Palangkaraya
CUST00501,P,46+,2024-08-13,Semarang
CUST00502,perempuan,46+,2025-05-05,Bogor
CUST00503,L,26-35,2024-10-19,magelang
CUST00504,perempuan,26-35,2025-08-22,Sabang
CUST00505,P,36-45,2026-03-17,tasikmalaya
CUST00506,Laki-laki,46+,2024-07-06,probolinggo
CUST00507,perempuan,18-25,2025-04-06,parepare
CUST00508,p,46+,2025-07-25,Madiun
CUST00509,P,18-25,2025-01-30,Kota Administrasi Jakarta Pusat
CUST00510,p,46+,2024-12-18,Langsa
CUST00511,p,18-25,2025-08-02,subulussalam
CUST00512,L,36-45,2024-09-23,Tegal
CUST00513,perempuan,18-25,2026-03-28,padang sidempuan
CUST00514,p,46+,2025-04-08,Jambi
CUST00515,perempuan,18-25,2025-09-25,Pematangsiantar
CUST00516,Laki-laki,36-45,2025-11-11,pekanbaru
CUST00517,p,46+,2025-05-12,Kupang
CUST00518,L,46+,2024-11-02,Bengkulu
CUST00519,perempuan,36-45,2025-06-17,sibolga
CUST00520,perempuan,36-45,2025-12-12,medan
CUST00521,Laki-laki,18-25,2024-12-27,bontang
CUST00522,L,46+,2024-12-06,Langsa
CUST00523,p,46+,2024-12-14,Sorong
CUST00524,perempuan,26-35,2024-12-14,bima
CUST00525,p,26-35,2025-12-09,banjar
CUST00526,P,46+,2024-07-23,metro
CUST00527,p,18-25,2024-06-20,Jambi
CUST00528,P,36-45,2025-09-24,Parepare
CUST00529,Laki-laki,18-25,2025-04-13,padangpanjang
