order_id,customer_id,driver_id,service_id,payment_id,location_id,time_id,price,distance,discount,order_status
ORD00068,CUST03953,DRV01803,SRV02,PAY03,LOC07999,T2023101923,87030,2.52,0,
ORD00069,CUST08662,DRV03257,SRV03,PAY02,LOC03620,T2023031613,63614,9.52,0,
ORD00070,CUST01411,DRV01255,SRV01,PAY03,LOC02819,T2023101412,158013,17.45,10000,completed
ORD00071,CUST03752,DRV05027,SRV01,PAY03,LOC02058,T2023012306,131411,1.93,5000,COMPLETED
ORD00072,CUST00631,DRV09304,SRV01,PAY03,LOC04941,T2023051304,24580,3.79,10000,cancelled
ORD00073,CUST00631,DRV07902,SRV03,PAY03,LOC08467,T2023033118,125724,9.01,5000,
ORD00074,CUST09056,DRV07828,SRV02,PAY03,LOC05956,T2023122915,179605,16.89,10000,completed
ORD00075,CUST02766,DRV05660,SRV03,PAY02,LOC03936,T2024012018,118958,4.43,5000,cancelled
ORD00076,CUST08484,DRV06546,SRV03,PAY03,LOC05249,T2023032422,192418,3.25,10000,
ORD00077,CUST02190,DRV06687,SRV01,PAY02,LOC09346,T2024010413,82303,16.55,0,cancelled
ORD00078,CUST03664,DRV00606,SRV03,PAY02,LOC05500,T2023121904,70021,9.61,10000,COMPLETED
ORD00079,CUST03998,DRV06163,SRV02,PAY01,LOC05994,T2023111815,170579,5.41,0,
ORD00080,CUST03787,DRV08869,SRV03,PAY03,LOC01633,T2023121512,69540,14.44,0,COMPLETED
ORD00081,CUST05692,DRV01858,SRV03,PAY01,LOC09547,T2023100811,-50000,18.96,0,
ORD00082,CUST03597,DRV09766,SRV01,PAY01,LOC09221,T2024022000,114362,12.44,0,cancelled
ORD00083,CUST04699,DRV09269,SRV02,PAY01,LOC01082,T2023020309,55769,2.68,10000,COMPLETED
ORD00084,CUST01199,DRV00340,SRV01,PAY02,LOC07915,T2023080603,191649,19.57,0,cancelled
ORD00085,CUST01051,DRV04154,SRV01,PAY01,LOC08997,T2023070417,69729,14.54,5000,cancelled
ORD00086,CUST03871,DRV04509,SRV02,PAY01,LOC07913,T2023030908,186708,1.98,0,completed
ORD00087,CUST08961,DRV00878,SRV01,PAY01,LOC04803,T2024010409,161261,3.29,5000,
ORD00088,CUST05644,DRV07610,SRV02,PAY01,LOC00601,T2024011317,72407,10.92,10000,completed
ORD00089,CUST07670,DRV06034,SRV01,PAY02,LOC08333,T2023081904,168186,6.98,10000,cancelled
ORD00090,CUST03143,DRV06833,SRV01,PAY02,LOC04021,T2023050716,51452,5.08,10000,cancelled
ORD00091,CUST01998,DRV08290,SRV03,PAY03,LOC01806,T2023091004,35649,15.99,10000,cancelled
ORD00092,CUST09957,DRV09028,SRV01,PAY03,LOC05384,T2023073004,65208,17.34,10000,COMPLETED
ORD00093,CUST07650,DRV02330,SRV02,PAY03,LOC09498,T2023122414,158075,16.02,0,cancelled
ORD00094,CUST01424,DRV09619,SRV03,PAY02,LOC06664,T2024020905,86864,8.09,0,completed
ORD00095,CUST02251,DRV09693,SRV02,PAY03,LOC05050,T2024022022,56304,5.97,5000,completed
ORD00096,CUST06557,DRV01993,SRV02,PAY03,LOC07413,T2024013119,63415,12.89,0,COMPLETED
ORD00097,CUST05664,DRV00490,SRV02,PAY01,LOC01731,T2023090805,15851,2.63,0,COMPLETED
ORD00098,CUST06352,DRV05261,SRV03,PAY02,LOC05902,T2023071102,121891,18.13,5000,
ORD00099,CUST00784,DRV01236,SRV01,PAY03,LOC05688,T2023011905,121531,4.75,0,completed
ORD00100,CUST03389,DRV03825,SRV01,PAY02,LOC09860,T2023102120,48672,10.55,0,completed
ORD00101,CUST03865,DRV06264,SRV02,PAY02,LOC09002,T2023061606,21986,1.84,0,cancelled
ORD00102,CUST01942,DRV01641,SRV02,PAY03,LOC09736,T2023080417,138777,19.92,0,
ORD00103,CUST08443,DRV08540,SRV03,PAY02,LOC09743,T2023052800,96388,17.28,0,COMPLETED
ORD00104,CUST04475,DRV07549,SRV01,PAY02,LOC08894,T2023030318,1,2.84,0,cancelled
ORD00105,CUST00419,DRV04411,SRV02,PAY01,LOC02464,T2023111223,140003,17.83,5000,cancelled
ORD00106,CUST02801,DRV02649,SRV02,PAY01,LOC04552,T2023071206,140310,15.33,10000,COMPLETED
ORD00107,CUST08396,DRV09327,SRV02,PAY01,LOC07151,T2023020523,108420,6.69,10000,cancelled
ORD00108,CUST04201,DRV02431,SRV02,PAY01,LOC05035,T2023061202,37226,19.88,0,
ORD00109,CUST09917,DRV09329,SRV01,PAY03,LOC00718,T2024021122,107311,1.57,10000,cancelled
ORD00110,CUST04964,DRV06378,SRV02,PAY02,LOC03671,T2023062003,89002,9.88,10000,completed
ORD00111,CUST08009,DRV07009,SRV01,PAY02,LOC00701,T2023070811,61799,9.74,0,cancelled
ORD00112,CUST07235,DRV03426,SRV02,PAY03,LOC07535,T2023081618,149120,16.96,0,
ORD00113,CUST09225,DRV08053,SRV02,PAY02,LOC01604,T2023120909,75694,18.03,10000,completed
ORD00114,CUST02629,DRV04410,SRV02,PAY01,LOC08903,T2023011521,173685,13.34,5000,
ORD00115,CUST09259,DRV07380,SRV03,PAY03,LOC08659,T2023010316,105173,14.76,5000,
ORD00116,CUST09172,DRV00119,SRV01,PAY02,LOC02404,T2023020702,-50000,6.91,10000,COMPLETED
ORD00117,CUST02519,DRV08910,SRV02,PAY01,LOC09503,T2023022406,178017,19.23,0,COMPLETED
ORD00118,CUST05918,DRV03079,SRV01,PAY03,LOC05863,T2023051409,158917,14.55,0,COMPLETED
ORD00119,CUST05258,DRV04774,SRV01,PAY02,LOC05708,T2023073000,112082,15.96,0,COMPLETED
ORD00120,CUST02315,DRV01231,SRV03,PAY01,LOC01958,T2023090204,31464,5.44,0,
ORD00121,CUST04374,DRV05039,SRV02,PAY02,LOC01309,T2024021821,52579,17.87,5000,cancelled
ORD00122,CUST02744,DRV08398,SRV01,PAY03,LOC05731,T2023090306,150713,6.63,10000,COMPLETED
ORD00123,CUST00790,DRV03777,SRV03,PAY03,LOC04199,T2023071917,98291,11.08,5000,completed
ORD00124,CUST09707,DRV09939,SRV02,PAY02,LOC01711,T2023100306,152099,9.92,0,COMPLETED
ORD00125,CUST08913,DRV07380,SRV03,PAY03,LOC02257,T2024011708,36333,8.97,5000,completed
ORD00126,CUST01380,DRV08676,SRV03,PAY01,LOC07707,T2023062802,-50000,2.58,5000,
ORD00127,CUST05503,DRV09691,SRV02,PAY02,LOC05862,T2023041408,161384,11.73,5000,cancelled
ORD00128,CUST01350,DRV09127,SRV02,PAY02,LOC05153,T2023090718,107929,19.74,0,completed
ORD00129,CUST03665,DRV08391,SRV01,PAY03,LOC05499,T2023060920,91934,11.31,5000,cancelled
ORD00130,CUST05433,DRV03229,SRV03,PAY02,LOC04241,T2023011901,144304,17.99,5000,
ORD00131,CUST09573,DRV07066,SRV01,PAY02,LOC06357,T2023053020,168817,8.58,0,completed
ORD00132,CUST00788,DRV07260,SRV03,PAY01,LOC04876,T2023030123,111928,16.85,5000,cancelled
ORD00133,CUST07503,DRV00887,SRV01,PAY01,LOC07518,T2023070323,191874,12.2,0,cancelled
ORD00134,CUST02930,DRV07658,SRV02,PAY01,LOC02845,T2023052310,21435,14.77,5000,cancelled
ORD00135,CUST03311,DRV06273,SRV01,PAY03,LOC04804,T2023090921,195875,18.58,5000,
ORD00136,CUST00159,DRV04098,SRV03,PAY01,LOC08031,T2023060417,132082,12.11,0,completed
ORD00137,CUST03841,DRV08691,SRV02,PAY01,LOC05240,T2023032823,66316,3.32,10000,completed
ORD00138,CUST07963,DRV00760,SRV01,PAY01,LOC08682,T2023090808,86821,13.03,0,COMPLETED
ORD00139,CUST02334,DRV09983,SRV02,PAY03,LOC02351,T2023080205,98594,1.8,0,
ORD00140,CUST00226,DRV02028,SRV03,PAY01,LOC00660,T2023012310,183966,15.27,0,cancelled
ORD00141,CUST00923,DRV01597,SRV02,PAY02,LOC08604,T2023062808,169933,13.97,10000,
ORD00142,CUST05516,DRV06715,SRV02,PAY01,LOC06723,T2023021821,185138,4.84,5000,cancelled
ORD00143,CUST02327,DRV03170,SRV02,PAY02,LOC00227,T2023081319,17054,12.5,0,cancelled
ORD00144,CUST08443,DRV03748,SRV03,PAY01,LOC08053,T2023112605,102615,7.54,5000,COMPLETED
ORD00145,CUST06663,DRV06594,SRV03,PAY03,LOC08957,T2023061110,25942,7.0,5000,COMPLETED
ORD00146,CUST08139,DRV08902,SRV01,PAY03,LOC04979,T2023010408,148811,5.95,0,COMPLETED
ORD00147,CUST07319,DRV08514,SRV02,PAY02,LOC08219,T2023031510,125148,4.53,10000,
ORD00148,CUST02483,DRV00358,SRV01,PAY02,LOC07551,T2023081016,68096,19.8,0,COMPLETED
ORD00149,CUST03503,DRV08150,SRV01,PAY01,LOC07386,T2023011821,119153,7.96,0,
ORD00150,CUST02483,DRV02831,SRV01,PAY02,LOC05014,T2023082918,42299,13.17,0,cancelled
ORD00151,CUST06984,DRV06906,SRV01,PAY02,LOC03981,T2023060218,87431,12.64,0,cancelled
ORD00152,CUST08215,DRV09180,SRV03,PAY02,LOC03574,T2023112611,81361,11.95,0,completed
ORD00153,CUST04664,DRV00788,SRV02,PAY01,LOC00678,T2023120508,117560,4.3,0,COMPLETED
ORD00154,CUST05273,DRV05712,SRV01,PAY03,LOC01848,T2023052913,181580,9.76,10000,cancelled
ORD00155,CUST05064,DRV09310,SRV03,PAY02,LOC08224,T2023033005,130008,9.34,0,COMPLETED
ORD00156,CUST00448,DRV01268,SRV01,PAY03,LOC08613,T2023011615,161410,15.63,5000,
ORD00157,CUST00634,DRV05946,SRV03,PAY03,LOC05883,T2023121922,74609,12.74,0,
ORD00158,CUST08750,DRV06902,SRV01,PAY02,LOC04558,T2023083000,77035,8.16,0,cancelled
ORD00159,CUST04627,DRV01311,SRV02,PAY01,LOC08330,T2023112013,142802,13.22,0,
ORD00160,CUST00283,DRV06046,SRV01,PAY01,LOC06814,T2024020600,148423,14.13,5000,cancelled
ORD00161,CUST05212,DRV00800,SRV03,PAY01,LOC02134,T2023032818,31457,19.18,0,COMPLETED
ORD00162,CUST05560,DRV04320,SRV03,PAY02,LOC02891,T2023090507,199861,8.93,10000,
ORD00163,CUST03855,DRV00127,SRV03,PAY02,LOC00903,T2023121202,30528,3.98,5000,completed
ORD00164,CUST03751,DRV00176,SRV02,PAY01,LOC04058,T2023012514,127461,5.57,0,COMPLETED
ORD00165,CUST02220,DRV08942,SRV01,PAY03,LOC05371,T2023091601,168174,19.62,0,
ORD00166,CUST06840,DRV04856,SRV03,PAY03,LOC04817,T2023121021,95923,19.66,5000,
ORD00167,CUST07091,DRV06414,SRV01,PAY01,LOC05043,T2023092419,80162,7.75,0,completed
ORD00168,CUST04776,DRV00863,SRV03,PAY02,LOC03289,T2023011621,87241,16.03,5000,
ORD00169,CUST08559,DRV02189,SRV01,PAY01,LOC02469,T2023101412,49149,15.29,10000,completed
ORD00170,CUST00900,DRV06431,SRV02,PAY02,LOC02468,T2023070601,177091,8.61,10000,completed
ORD00171,CUST07521,DRV03868,SRV01,PAY03,LOC09322,T2024011512,85901,9.11,10000,cancelled
ORD00172,CUST01449,DRV09510,SRV02,PAY01,LOC01742,T2023032101,120776,3.76,10000,COMPLETED
ORD00173,CUST00730,DRV02681,SRV01,PAY03,LOC05318,T2023090601,78923,7.54,0,completed
ORD00174,CUST07402,DRV01821,SRV01,PAY03,LOC05574,T2023062815,22576,2.06,5000,
ORD00175,CUST06572,DRV02646,SRV01,PAY01,LOC03357,T2023071010,154735,18.83,5000,cancelled
ORD00176,CUST06709,DRV00062,SRV01,PAY03,LOC05340,T2023013003,133273,16.29,0,
ORD00177,CUST00190,DRV09528,SRV01,PAY01,LOC06996,T2023070108,148404,18.97,10000,completed
ORD00178,CUST04266,DRV04792,SRV03,PAY02,LOC04724,T2023090822,170000,10.28,10000,
ORD00179,CUST01425,DRV06910,SRV01,PAY03,LOC00630,T2023062112,52776,19.39,0,COMPLETED
ORD00180,CUST01704,DRV05564,SRV01,PAY03,LOC08671,T2023062806,39451,4.46,0,completed
ORD00181,CUST03993,DRV06045,SRV03,PAY01,LOC07338,T2023102815,105452,3.16,5000,cancelled
ORD00182,CUST07289,DRV00647,SRV01,PAY02,LOC09866,T2023071207,23553,10.68,0,completed
ORD00183,CUST06484,DRV01657,SRV02,PAY02,LOC01410,T2023082417,84905,18.25,0,
ORD00184,CUST01021,DRV02667,SRV02,PAY03,LOC03598,T2023080722,19551,7.61,10000,COMPLETED
ORD00185,CUST00736,DRV02820,SRV03,PAY03,LOC04278,T2023031404,161573,11.35,0,COMPLETED
ORD00186,CUST06685,DRV06038,SRV01,PAY01,LOC01127,T2023012414,145881,4.63,0,completed
ORD00187,CUST00599,DRV01032,SRV01,PAY01,LOC07484,T2023062505,148343,6.19,0,completed
ORD00188,CUST07632,DRV09919,SRV01,PAY03,LOC07582,T2023081407,66387,5.14,5000,completed
ORD00189,CUST08576,DRV02125,SRV03,PAY02,LOC09032,T2023052612,135130,3.26,0,
ORD00190,CUST06742,DRV08316,SRV03,PAY01,LOC06317,T2023112215,95570,17.92,10000,COMPLETED
ORD00191,CUST01689,DRV09780,SRV03,PAY02,LOC06994,T2023112302,80435,6.38,10000,COMPLETED
ORD00192,CUST00723,DRV04079,SRV03,PAY03,LOC09109,T2023060617,-50000,5.53,5000,cancelled
ORD00193,CUST00817,DRV04910,SRV02,PAY02,LOC08990,T2023011517,128431,16.41,10000,cancelled
ORD00194,CUST03692,DRV02340,SRV01,PAY03,LOC05443,T2023072511,155684,4.39,5000,
ORD00195,CUST03144,DRV08810,SRV03,PAY02,LOC09733,T2024020423,198778,5.05,5000,cancelled
ORD00196,CUST09535,DRV00373,SRV01,PAY02,LOC01446,T2023051603,70643,19.88,0,
ORD00197,CUST02391,DRV03589,SRV02,PAY02,LOC08569,T2023062912,142806,8.14,10000,completed
ORD00198,CUST06209,DRV09612,SRV02,PAY01,LOC00228,T2023010320,63205,18.33,0,cancelled
ORD00199,CUST04084,DRV00670,SRV01,PAY03,LOC01640,T2023111912,158213,15.51,10000,
ORD00200,CUST01724,DRV07603,SRV01,PAY03,LOC06365,T2023122611,168070,13.48,10000,
ORD00201,CUST07140,DRV09940,SRV03,PAY03,LOC09607,T2023073119,180417,1.94,5000,completed
ORD00202,CUST03162,DRV08491,SRV01,PAY03,LOC07260,T2023011218,36310,12.21,5000,
ORD00203,CUST05040,DRV02514,SRV02,PAY03,LOC06422,T2023121506,67848,19.94,0,COMPLETED
ORD00204,CUST02513,DRV08999,SRV03,PAY03,LOC04703,T2023040806,95843,13.46,0,completed
ORD00205,CUST04383,DRV06616,SRV02,PAY02,LOC07429,T2023042708,69433,18.95,5000,cancelled
ORD00206,CUST03621,DRV05868,SRV02,PAY01,LOC05254,T2023013017,197390,6.78,5000,cancelled
ORD00207,CUST06643,DRV05214,SRV01,PAY02,LOC07217,T2023120723,143454,1.56,0,COMPLETED
ORD00208,CUST07991,DRV03827,SRV02,PAY02,LOC06497,T2023082317,147463,14.78,5000,
ORD00209,CUST00968,DRV06259,SRV01,PAY02,LOC03051,T2023102323,52312,14.43,5000,
ORD00210,CUST01385,DRV03186,SRV02,PAY01,LOC09073,T2023060517,168666,5.84,10000,
ORD00211,CUST07360,DRV01177,SRV02,PAY01,LOC04189,T2023080714,136569,14.84,5000,
ORD00212,CUST06233,DRV00447,SRV02,PAY02,LOC03327,T2024011110,140596,9.01,5000,COMPLETED
ORD00213,CUST00312,DRV05971,SRV03,PAY03,LOC04577,T2024012714,152065,16.25,10000,completed
ORD00214,CUST09792,DRV09902,SRV03,PAY03,LOC07713,T2023122308,50228,15.42,0,
ORD00215,CUST07804,DRV02401,SRV02,PAY03,LOC06153,T2023051610,42399,9.79,10000,
ORD00216,CUST02449,DRV03022,SRV01,PAY02,LOC08940,T2023070720,109544,18.74,5000,completed
ORD00217,CUST05741,DRV05496,SRV02,PAY02,LOC06157,T2023100422,83682,11.19,10000,
ORD00218,CUST04534,DRV05094,SRV01,PAY02,LOC05440,T2023080108,35240,16.24,5000,cancelled
ORD00219,CUST09068,DRV04346,SRV03,PAY01,LOC01479,T2024010720,43495,10.02,10000,completed
ORD00220,CUST07950,DRV06392,SRV01,PAY01,LOC00189,T2023021603,116107,2.12,0,COMPLETED
ORD00221,CUST07633,DRV09265,SRV01,PAY03,LOC08274,T2023042320,72848,8.59,0,cancelled
ORD00222,CUST03957,DRV02167,SRV01,PAY02,LOC08244,T2023090703,190079,10.85,0,
ORD00223,CUST06745,DRV04157,SRV01,PAY01,LOC09157,T2023030213,147043,6.09,0,
ORD00224,CUST04424,DRV09551,SRV02,PAY03,LOC08962,T2023081410,104293,17.39,5000,COMPLETED
ORD00225,CUST00778,DRV05677,SRV03,PAY03,LOC06555,T2023060512,16757,4.04,5000,COMPLETED
ORD00226,CUST08093,DRV02843,SRV01,PAY03,LOC00774,T2024011813,30399,12.14,0,completed
ORD00227,CUST01757,DRV01157,SRV02,PAY01,LOC06449,T2023122323,26547,13.89,5000,completed
ORD00228,CUST06358,DRV03465,SRV02,PAY01,LOC02966,T2023021002,118912,11.54,10000,COMPLETED
ORD00229,CUST04458,DRV06782,SRV02,PAY02,LOC00030,T2023022419,100052,3.81,5000,cancelled
ORD00230,CUST01649,DRV06510,SRV03,PAY02,LOC00240,T2023091420,66069,13.01,0,completed
ORD00231,CUST07292,DRV06156,SRV02,PAY02,LOC07790,T2023052101,25081,6.82,10000,
ORD00232,CUST01760,DRV02550,SRV02,PAY01,LOC05600,T2023110822,166997,14.48,5000,
ORD00233,CUST09034,DRV00953,SRV02,PAY03,LOC06491,T2023111522,76106,6.65,0,COMPLETED
ORD00234,CUST07682,DRV02905,SRV03,PAY02,LOC09786,T2023080816,24874,12.21,0,cancelled
ORD00235,CUST05227,DRV05725,SRV03,PAY01,LOC06299,T2023030619,174809,9.28,0,completed
ORD00236,CUST03019,DRV09721,SRV03,PAY01,LOC05527,T2024011821,23046,1.7,0,
ORD00237,CUST06591,DRV02437,SRV03,PAY02,LOC01376,T2023111020,151225,16.69,5000,cancelled
ORD00238,CUST01592,DRV04645,SRV03,PAY02,LOC06516,T2023122505,154274,6.51,5000,COMPLETED
ORD00239,CUST06379,DRV09075,SRV01,PAY02,LOC07350,T2023030809,66118,18.2,0,cancelled
ORD00240,CUST03242,DRV05601,SRV03,PAY03,LOC05625,T2023112117,88399,19.08,0,
ORD00241,CUST07371,DRV00384,SRV03,PAY03,LOC05666,T2023011123,165182,2.74,0,COMPLETED
ORD00242,CUST07514,DRV07889,SRV02,PAY02,LOC07568,T2023051500,16073,18.88,5000,completed
ORD00243,CUST04703,DRV07331,SRV01,PAY01,LOC07806,T2023040615,70201,1.87,10000,completed
ORD00244,CUST03488,DRV00864,SRV02,PAY01,LOC09321,T2023112503,156622,18.8,10000,completed
ORD00245,CUST03886,DRV02447,SRV02,PAY03,LOC00206,T2023071315,110273,18.81,0,COMPLETED
ORD00246,CUST09982,DRV09395,SRV01,PAY03,LOC01889,T2023102110,75632,8.75,0,
ORD00247,CUST04119,DRV03960,SRV01,PAY03,LOC07008,T2023121321,119862,18.65,5000,
ORD00248,CUST06413,DRV04330,SRV01,PAY03,LOC00544,T2023091507,82929,3.5,5000,COMPLETED
ORD00249,CUST08364,DRV03551,SRV01,PAY03,LOC05492,T2023083022,43930,18.41,0,
ORD00250,CUST05252,DRV07225,SRV03,PAY02,LOC04264,T2024021922,73058,19.37,5000,cancelled
ORD00251,CUST08639,DRV08538,SRV01,PAY03,LOC04894,T2023081918,99616,8.04,0,COMPLETED
ORD00252,CUST08191,DRV08387,SRV01,PAY01,LOC09453,T2023042406,32344,5.16,0,cancelled
ORD00253,CUST07395,DRV08126,SRV03,PAY02,LOC08342,T2023041800,83587,12.16,5000,completed
ORD00254,CUST08820,DRV06067,SRV02,PAY01,LOC00127,T2023032106,181013,11.21,0,COMPLETED
ORD00255,CUST07980,DRV02526,SRV02,PAY01,LOC08988,T2023092910,126135,3.91,10000,
ORD00256,CUST07488,DRV03707,SRV01,PAY03,LOC04137,T2023051209,26301,10.56,5000,
ORD00257,CUST02164,DRV09216,SRV02,PAY02,LOC03538,T2023112506,140087,9.9,5000,cancelled
ORD00258,CUST01585,DRV01507,SRV02,PAY03,LOC05928,T2023080211,52508,12.36,5000,COMPLETED
ORD00259,CUST05611,DRV02964,SRV02,PAY03,LOC05449,T2023021507,78462,17.53,10000,COMPLETED
ORD00260,CUST00560,DRV09113,SRV03,PAY01,LOC06281,T2024021113,95757,4.43,0,COMPLETED
